ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,สายทางหน่วยงาน,รหัสสายทาง,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ,วันเวลาเกิด,วันเวลาเกิด_ปัดครึ่งชม,ช่วงเวลา,รถน้อยกว่า4ล้อ,รถ4ล้อ,รถมากกว่า4ล้อ
2020,1/1/2020,6:00:00,ทางหลวง,407,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนคนเดินเท้า,แจ่มใส,7.125336487,100.5739117,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2020-01-01 06:00:00,2020-01-01 06:00:00,06:00,0,1,0
2020,1/1/2020,9:30:00,ทางหลวง,43,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.937702965,100.7990429,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-01 09:30:00,2020-01-01 09:30:00,09:30,0,1,0
2020,1/1/2020,10:55:00,ทางหลวง,42,สงขลา,รถตู้,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.738540956,100.7009947,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-01 10:55:00,2020-01-01 11:00:00,11:00,1,1,0
2020,1/1/2020,17:40:00,ทางหลวง,408,สงขลา,รถจักรยานยนต์,,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,7.247817986,100.5378011,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-01 17:40:00,2020-01-01 17:30:00,17:30,1,1,0
2020,1/1/2020,18:00:00,ทางหลวง,406,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,7.130869701,100.2473205,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-01-01 18:00:00,2020-01-01 18:00:00,18:00,1,1,0
2020,1/2/2020,5:55:00,ทางหลวง,43,สงขลา,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.884035815,100.9427637,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-02-01 05:55:00,2020-02-01 06:00:00,06:00,0,0,1
2020,1/2/2020,15:40:00,ทางหลวง,408,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,อุปกรณ์ยานพาหนะบกพร่อง,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.326937214,100.4859298,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2020-02-01 15:40:00,2020-02-01 15:30:00,15:30,0,1,0
2020,1/2/2020,17:00:00,ทางหลวง,408,สงขลา,รถตู้,ทางโค้งกว้าง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,7.559533057,100.4135102,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-01 17:00:00,2020-02-01 17:00:00,17:00,0,1,0
2020,1/2/2020,19:00:00,ทางหลวง,406,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,6.972834265,100.1376209,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2020-02-01 19:00:00,2020-02-01 19:00:00,19:00,1,1,0
2020,1/2/2020,19:40:00,ทางหลวง,4,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,7.010657039,100.4133654,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020-02-01 19:40:00,2020-02-01 19:30:00,19:30,1,1,0
2020,1/3/2020,23:30:00,ทางหลวง,43,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,มีกองวัสดุ/สิ่งกีดขวาง,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.837321414,101.015878,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-01 23:30:00,2020-03-01 23:30:00,23:30,0,1,0
2020,1/4/2020,11:30:00,ทางหลวง,43,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.946555928,100.8501014,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-01 11:30:00,2020-04-01 11:30:00,11:30,0,1,0
2020,1/6/2020,10:30:00,ทางหลวง,408,สงขลา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,7.045269095,100.6546569,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2020-06-01 10:30:00,2020-06-01 10:30:00,10:30,1,1,0
2020,1/6/2020,14:30:00,ทางหลวง,414,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,7.030811781,100.4495993,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2020-06-01 14:30:00,2020-06-01 14:30:00,14:30,0,4,0
2020,1/7/2020,4:30:00,ทางหลวง,414,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,7.040187391,100.4617631,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-07-01 04:30:00,2020-07-01 04:30:00,04:30,1,1,0
2020,1/7/2020,13:40:00,ทางหลวง,43,สงขลา,รถปิคอัพโดยสาร,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.967695861,100.5025783,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,14,18,2020-07-01 13:40:00,2020-07-01 13:30:00,13:30,0,2,0
2020,1/8/2020,0:20:00,ทางหลวง,43,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,6.982642336,100.6710988,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-08-01 00:20:00,2020-08-01 00:30:00,00:30,0,1,0
