ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,25+556,19024,7459,15,695,1266,6731,522,177,58,65,36012,7.73,40,9437,กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,179799,41887,2317,4873,13781,69678,10445,4613,1350,1003,329746,10.94,281,18953,ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,88775,38115,3710,6284,10501,54244,18089,3433,2471,1586,227208,18.65,64,13728,ปทุมธานี,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,60+800,32416,26851,7781,2670,3454,8219,7342,8422,7236,7333,111724,32.63,0,1540,อยุธยา,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,67+300,35326,20998,8300,2123,3339,17087,16201,10811,10718,9635,134538,39.27,0,1544,อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,33019,31501,776,1387,3114,37349,3989,4459,6433,5590,127617,19.57,10,2348,สระบุรี,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,14023,14549,1925,1499,1615,6229,2419,2793,6288,6904,58244,36.95,191,2287,สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,8914,7254,2432,3391,2432,6283,4763,3336,4074,3752,46631,46.64,241,5148,สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,8247,8618,1558,1089,483,1992,1152,1235,1768,1233,27375,25.43,167,1915,ลพบุรีที่ 1,สระบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,167+355,6360,2933,370,23,161,4600,388,111,255,157,15358,7.13,44,2703,ลพบุรีที่ 1,ลพบุรี
1,504,โคกสำโรง - หนองม่วง,192+000,4196,4649,95,146,139,2068,411,385,366,267,12722,13.47,120,2024,ลพบุรีที่ 1,ลพบุรี
1,601,ลำพยนต์ - เกษตรชัย,222+176,785,538,26,0,35,1894,150,147,401,164,4140,21.67,5,595,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,602,เกษตรชัย - ตาคลี,235+000,1348,892,30,0,16,2227,142,92,169,73,4989,9.86,6,846,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,603,ตาคลี - ดอนรังนก,254+000,2347,2103,54,41,26,980,193,224,220,104,6292,12.84,10,1902,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,700,ดอนรังนก - หางน้ำหนองแขม,267+758,2500,1888,4,3,26,1244,539,299,553,192,7248,22.24,0,622,ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,289+504,8610,1486,16,9,31,2992,661,290,398,212,14705,10.89,14,1879,ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,291+711,4502,3798,8,4,33,3437,634,288,359,206,13269,11.49,6,998,ชัยนาท,ชัยนาท
1,801,หางน้ำหนองแขม - บ้านหว้า,306+776,8210,9309,0,62,367,13837,1532,1845,1859,1813,38834,19.26,0,949,นครสวรรค์ที่ 1,นครสวรรค์
1,801,หางน้ำหนองแขม - บ้านหว้า,316+676,6006,5552,0,0,318,9147,1658,1661,1753,1714,27809,25.55,22,939,นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - วังไผ่,331+276,7876,7901,8,923,1177,13116,1097,1219,1104,1018,35439,18.45,22,6935,นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - วังไผ่,341+076,10768,6923,578,560,977,11950,664,761,669,752,34602,12.67,88,7056,นครสวรรค์ที่ 1,นครสวรรค์
1,803,วังไผ่ -โนนปอแดง,356+936,3741,2903,22,60,159,5403,893,841,1511,1593,17126,29.53,18,1183,นครสวรรค์ที่ 1,นครสวรรค์
1,803,วังไผ่ -โนนปอแดง,377+276,5030,3006,179,42,392,3570,1176,1099,1616,2049,18159,35.10,14,537,นครสวรรค์ที่ 1,นครสวรรค์
1,901,โนนปอแดง - ปากดง,390+276,4921,1396,103,42,81,9665,949,896,1176,1623,20852,22.86,106,936,กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,417+776,4597,2287,136,30,108,6078,783,831,860,1064,16774,21.92,26,689,กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,423+900,4968,3205,102,49,144,5371,1171,945,1159,1647,18761,27.26,7,438,กำแพงเพชร,กำแพงเพชร
1,902,ปากดง - นครชุม,457+876,9195,4285,37,3,73,8339,1300,1243,1272,1384,27131,19.44,72,4186,กำแพงเพชร,กำแพงเพชร
1,903,นครชุม - วังเจ้า,485+476,3381,1626,57,29,60,5961,845,707,536,1085,14287,22.83,2,933,กำแพงเพชร,กำแพงเพชร
1,1001,วังเจ้า - ตาก,511+796,4002,2430,16,4,73,5872,1011,1026,862,1469,16765,26.51,16,762,ตากที่ 1,ตาก
1,1003,วังม่วง - แม่เชียงรายบน,543+117,1785,1313,169,208,307,1346,614,633,628,516,7519,38.65,73,467,ตากที่ 1,ตาก
1,1101,แม่เชียงรายบน - ดอนไชย,589+255,3206,2096,14,0,64,1097,837,934,958,1178,10384,38.24,12,166,ลำปางที่ 1,ลำปาง
1,1102,ดอนไชย - สบปราบ,617+097,6057,2560,385,10,61,1783,1071,734,702,1186,14549,25.87,12,1733,ลำปางที่ 1,ลำปาง
1,1103,สบปราบ - เกาะคา,650+917,2994,1328,116,1,85,3292,792,552,620,958,10738,28.01,2,434,ลำปางที่ 1,ลำปาง
1,1103,สบปราบ - เกาะคา,688+017,4953,412,34,0,54,5699,970,660,555,1208,14545,23.70,44,1226,ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,697+942,23498,23714,1711,1557,1739,12500,3313,3565,3581,3472,78650,21.90,582,12935,ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,701+817,15516,14287,1876,1819,1845,10131,2866,2750,2046,1793,54929,23.88,723,10391,ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,708+317,12264,12223,2189,1680,1839,5704,1922,2025,1920,1989,43755,26.00,799,8422,ลำปางที่ 1,ลำปาง
1,1201,สามัคคี - บ้านหวด,720+367,4131,4289,1106,917,771,3036,1079,960,918,907,18114,30.65,486,3676,ลำปางที่ 2,ลำปาง
1,1201,สามัคคี - บ้านหวด,769+397,2286,1667,791,493,609,2086,763,730,741,730,10896,37.32,342,1366,ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,784+017,3864,1945,558,515,774,2185,1384,1189,1211,1149,14774,42.12,298,2887,ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,787+129,3218,2855,1143,705,791,2131,1316,1295,1185,947,15586,40.03,413,2814,ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,790+517,2404,1611,817,682,719,3143,1045,1062,1029,997,13509,40.97,449,2502,ลำปางที่ 2,ลำปาง
1,1301,แม่กา - แยกประตูชัย,822+117,5580,2800,129,35,59,6439,497,363,314,577,16793,10.99,25,4478,พะเยา,พะเยา
1,1301,แม่กา - แยกประตูชัย,836+967,9917,3230,50,17,35,7458,504,191,308,113,21823,5.35,72,7956,พะเยา,พะเยา
1,1302,แยกประตูชัย - พาน,867+967,2922,671,42,54,119,4827,495,374,306,329,10139,16.54,127,1546,พะเยา,พะเยา
1,1401,พาน - ร่องขุ่น,909+967,10111,7236,174,159,172,1812,773,530,148,63,21178,8.71,269,7538,เชียงรายที่ 1,เชียงราย
1,1402,ร่องขุ่น - แยกแม่กรณ์,924+617,7441,7732,224,211,228,9983,458,478,468,520,27743,8.52,305,6206,เชียงรายที่ 1,เชียงราย
1,1403,แยกแม่กรณ์ - ห้วยพลู,930+617,11278,7981,116,107,87,12005,86,80,70,48,31858,1.50,99,7974,เชียงรายที่ 1,เชียงราย
1,1403,แยกแม่กรณ์ - ห้วยพลู,942+167,8165,3087,104,70,62,11361,55,55,39,36,23034,1.38,104,6177,เชียงรายที่ 1,เชียงราย
1,1403,แยกแม่กรณ์ - ห้วยพลู,948+000,7910,4586,565,586,483,6441,1102,697,524,505,23399,16.66,112,3861,เชียงรายที่ 1,เชียงราย
1,1405,แม่คำ - กลางสะพานแม่น้ำสาย(เขตแดนไทย/พม่า),975+777,3318,4559,76,41,33,3648,211,84,64,49,12083,3.99,249,2336,เชียงรายที่ 1,เชียงราย
2,102,ตาลเดี่ยว - ซับบอน,11+000,23050,22008,1495,2703,2302,11385,11075,11227,11217,10648,107110,45.91,340,2732,สระบุรี,สระบุรี
2,102,ตาลเดี่ยว - ซับบอน,21+250,18442,20456,1512,1749,2642,12482,14162,12934,12091,11006,107476,50.79,289,4090,สระบุรี,สระบุรี
2,103,ซับบอน - มวกเหล็ก,35+200,15421,11062,831,1958,1915,6810,2500,2957,3063,2608,49125,30.54,57,1787,สระบุรี,สระบุรี
2,201,มวกเหล็ก - บ่อทอง,45+600,8344,5475,4816,3308,3821,16123,8741,5820,9287,8731,74466,53.32,0,2488,นครราชสีมาที่ 2,นครราชสีมา
2,201,มวกเหล็ก - บ่อทอง,58+015,10440,7635,2028,1745,2323,18633,3164,2852,2888,1987,53695,27.86,0,3459,นครราชสีมาที่ 2,นครราชสีมา
2,202,บ่อทอง - มอจะบก,87+438,14518,5167,314,203,824,5934,2268,2473,2529,3016,37246,30.37,40,1639,นครราชสีมาที่ 2,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,103+438,9305,8346,67,88,363,1873,4208,4073,1905,1682,31910,38.61,2,1658,นครราชสีมาที่ 2,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,109+962,8157,8334,60,58,610,2359,2495,2488,1621,1456,27638,31.58,2,1073,นครราชสีมาที่ 2,นครราชสีมา
2,204,ไร่โคกสูง - โคกกรวด,117+262,12791,3155,315,670,1165,15080,2340,1603,2207,2065,41391,24.28,18,2556,นครราชสีมาที่ 2,นครราชสีมา
2,205,โคกกรวด - นครราชสีมา,146+072,24138,22689,4064,2133,3213,23887,1926,2271,2194,2200,88715,15.71,247,11999,นครราชสีมาที่ 2,นครราชสีมา
2,301,นครราชสีมา - ดอนหวาย,148+657,46281,18674,1285,311,1225,29892,235,84,8,14,98009,1.92,9,20960,นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,193+612,6344,5270,24,97,279,9639,1809,1342,1467,2574,28845,26.24,43,1126,นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,197+162,9100,6193,55,126,372,17300,1559,1460,3269,1280,40714,19.81,13,1544,นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,204+357,7721,4086,22,57,174,11557,1477,1087,1303,2046,29530,20.81,26,707,นครราชสีมาที่ 1,นครราชสีมา
2,403,บ้านไผ่ - ท่าพระ,310+578,11320,3954,98,32,164,2995,1222,902,1104,2019,23810,22.86,8,1470,ขอนแก่นที่ 3 (บ้านไผ่),ขอนแก่น
