ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง(ไม่เกิน7คน),รถยนต์นั่ง(เกิน7คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก(4ล้อ),รถบรรทุกขนาด2เพลา(6ล้อ),รถบรรทุกขนาด3เพลา(10ล้อ),รถบรรทุกพ่วง(มากกว่า3เพลา),รถบรรทุกกึ่งพ่วง(มากกว่า3เพลา),รวม,%ของยานยนต์หนัก,จักรยาน2ล้อและจักรยาน3ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,102,แยกคปอ.-สนามกีฬาธูปะเตมีย์,25+556,17517,5565,10,289,1015,11937,443,92,68,131,37067,5.498,49,8369,ขท.กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์-ต่างระดับคลองหลวง,35+550,133699,31075,1756,3714,10510,53648,8003,3521,1033,1067,248026,11.228,182,11880,ขท.ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง-ประตูน้ำพระอินทร์,48+100,78873,34477,2947,5447,9383,49048,16365,2690,1896,1162,202288,18.263,48,13130,ขท.ปทุมธานี,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์-หนองแค,60+800,31626,26413,7678,2745,3462,8062,7180,8277,7120,7204,109767,32.786,0,1560,ขท.อยุธยา,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์-หนองแค,67+300,29788,17960,7422,1862,2836,14347,13008,9055,8927,8221,113426,38.712,0,1487,ขท.อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค-หินกอง,92+000,24995,22951,420,1031,3479,34660,4703,5487,7390,6703,111819,25.75,19,2056,ขท.สระบุรี,สระบุรี
1,403,ปากข้าวสาร-แยกสวนพฤกษศาสตร์พุแค,121+000,13709,14236,1995,1575,1672,6158,2444,2818,5906,5908,56421,36.02,25,2362,ขท.สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค-แยกโรงเรียนสุธีวิทยา,136+208,8871,7392,2392,3289,2115,6124,4308,3403,4127,3734,45755,45.844,95,4979,ขท.สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา-ดงจำปา,142+200,7283,7946,1700,491,430,1719,1165,966,1568,1075,24343,23.395,141,1736,ขท.ลพบุรีที่1,สระบุรี
1,503,แยกร.พ.อานันทมหิดล-โคกสำโรง,167+355,4943,2715,44,139,100,3789,377,182,349,106,12744,9.832,25,1976,ขท.ลพบุรีที่1,ลพบุรี
1,504,โคกสำโรง-หนองม่วง,192+000,5100,1772,74,38,252,2190,252,261,411,237,10587,13.705,7,1733,ขท.ลพบุรีที่1,ลพบุรี
1,601,ลำพยนต์-เกษตรชัย,222+176,704,154,8,0,16,1954,157,139,440,165,3737,24.538,9,616,ขท.นครสวรรค์ที่2(ตากฟ้า),นครสวรรค์
1,602,เกษตรชัย-ตาคลี,235+000,1049,126,0,2,2,2261,103,64,151,73,3831,10.311,1,660,ขท.นครสวรรค์ที่2(ตากฟ้า),นครสวรรค์
1,603,ตาคลี-ดอนรังนก,254+000,1788,392,6,8,9,1502,190,155,294,96,4440,16.937,10,1492,ขท.นครสวรรค์ที่2(ตากฟ้า),นครสวรรค์
1,700,ดอนรังนก-หางน้ำหนองแขม,267+758,2522,2280,2,0,3,1133,712,635,800,132,8219,27.765,3,503,ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก-หางน้ำหนองแขม,289+504,4966,1813,1,0,7,2284,733,387,405,191,10787,15.973,7,1460,ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก-หางน้ำหนองแขม,291+711,3376,1274,11,4,7,2494,639,356,352,199,8712,17.872,8,719,ขท.ชัยนาท,ชัยนาท
1,801,หางน้ำหนองแขม-บ้านหว้า,306+776,8640,9793,0,61,396,14556,1581,1951,1948,1916,40842,19.228,0,943,ขท.นครสวรรค์ที่1,นครสวรรค์
1,801,หางน้ำหนองแขม-บ้านหว้า,316+676,6419,6135,0,0,356,10191,1861,1829,1859,1845,30495,25.414,29,923,ขท.นครสวรรค์ที่1,นครสวรรค์
1,802,บ้านหว้า-วังไผ่,331+276,7541,7355,20,978,1106,11975,1157,1331,1086,1021,33570,19.896,27,7114,ขท.นครสวรรค์ที่1,นครสวรรค์
1,802,บ้านหว้า-วังไผ่,341+076,10102,8033,676,688,830,11641,830,836,758,888,35282,13.69,100,8610,ขท.นครสวรรค์ที่1,นครสวรรค์
1,803,วังไผ่-โนนปอแดง,356+936,3734,2801,10,15,25,3327,1343,1309,1245,1213,15022,34.283,23,990,ขท.นครสวรรค์ที่1,นครสวรรค์
1,803,วังไผ่-โนนปอแดง,377+276,3334,2505,0,0,0,2732,1277,1444,1772,1924,14988,42.814,0,392,ขท.นครสวรรค์ที่1,นครสวรรค์
1,901,โนนปอแดง-ปากดง,390+276,4536,3981,21,8,3,4840,679,522,855,1121,16566,19.244,13,758,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง-ปากดง,417+776,3457,1827,22,3,9,6471,888,655,912,1170,15414,23.595,4,1016,ขท.กำแพงเพชร,กำแพงเพชร
