ทางหลวงสาย,ตอนควบคุม,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,จังหวัด
4,1401,10889,10931,1361,969,969,1841,1925,2074,2048,1945,34952,28.41,378,4601,สงขลา
4,1401,8820,8908,1522,896,1156,1949,1904,1951,1919,1715,30740,31.038,292,4197,สงขลา
4,1402,11123,6881,338,437,122,12478,1259,1198,1010,908,35754,13.8,15,1294,สงขลา
4,1402,11105,5394,196,145,122,11536,1327,1530,588,278,32221,12.383,5,5766,สงขลา
4,1403,11729,7189,413,10,113,8058,529,454,312,1197,30004,8.716,3,9166,สงขลา
4,1500,4849,2318,137,116,84,6097,348,299,206,1593,16047,16.489,7,3557,สงขลา
4,1500,3443,1990,126,200,122,3318,256,316,198,1765,11734,24.348,34,3054,สงขลา
42,100,1232,535,13,9,8,1157,212,229,252,259,3906,24.808,0,867,สงขลา
42,100,1961,1076,6,4,1,2452,235,109,199,59,6102,9.948,0,1835,สงขลา
42,100,1785,1340,1,0,5,1255,57,73,46,32,4594,4.636,8,1348,สงขลา
42,100,666,379,0,0,5,2773,78,57,32,20,4010,4.788,2,1601,สงขลา
43,101,8451,6534,106,62,71,5900,724,459,391,237,22935,8.476,9,2954,สงขลา
43,102,12288,4075,607,1014,270,7238,1516,1178,715,449,29350,17.52,54,3800,สงขลา
43,200,6030,1599,3,46,37,7864,450,530,482,397,17438,11.137,10,838,สงขลา
406,101,1438,1654,60,30,13,290,137,123,51,14,3810,9.659,10,1012,สงขลา
406,101,5881,6206,151,81,27,733,168,115,93,58,13513,4.011,15,3392,สงขลา
406,101,3861,3887,276,188,80,755,359,230,121,84,9841,10.792,15,2218,สงขลา
407,101,26862,8962,723,184,287,8789,219,254,45,189,46514,2.533,46,15825,สงขลา
407,101,8418,4030,414,54,54,5580,254,160,63,103,19130,3.596,13,5403,สงขลา
407,103,3842,3296,1200,489,472,3074,591,396,317,267,13944,18.158,229,3335,สงขลา
408,201,1579,857,86,93,65,3101,241,282,130,98,6532,13.916,33,1406,สงขลา
408,201,3762,993,136,138,45,4761,203,230,191,135,10594,8.892,6,1424,สงขลา
408,202,10327,1526,472,185,50,5923,402,450,185,321,19841,8.029,7,5020,สงขลา
408,202,7189,4801,534,318,90,5140,691,880,530,514,20687,14.613,53,4106,สงขลา
408,202,3553,787,45,3,12,4114,237,342,115,135,9343,9.034,9,1973,สงขลา
408,203,5504,988,348,65,48,2702,390,292,120,109,10566,9.691,40,2375,สงขลา
408,203,4040,2678,158,75,24,3119,428,182,157,127,10988,9.037,33,1952,สงขลา
408,300,3731,3423,7,0,5,4647,350,251,196,148,12758,7.446,16,3107,สงขลา
408,300,3702,3164,6,6,16,2704,188,113,62,38,9999,4.23,71,2647,สงขลา
414,102,11943,11115,101,143,74,12521,922,765,545,269,38398,7.078,30,7058,สงขลา
4053,100,792,612,69,6,7,217,78,45,6,0,1832,7.751,13,904,สงขลา
4054,100,2198,995,73,68,14,2239,180,145,169,601,6682,17.614,11,1834,สงขลา
4083,100,2144,844,55,120,25,5180,164,74,28,6,8640,4.826,16,4434,สงขลา
4085,100,1688,830,0,5,1,3074,134,89,53,41,5915,5.461,18,2520,สงขลา
4085,100,790,298,0,5,0,1829,178,106,147,1,3354,13.029,5,1277,สงขลา
4085,100,761,443,0,0,0,1289,131,142,131,106,3003,16.983,0,1009,สงขลา
4095,100,965,228,2,11,0,1940,95,53,36,4,3334,5.969,0,2045,สงขลา
4113,100,426,331,2,2,1,321,17,1,0,0,1101,1.907,1,1138,สงขลา
4135,100,12056,9757,95,125,41,12158,316,280,185,114,35127,3.02,18,5807,สงขลา
4135,100,11196,8872,194,161,71,11597,551,456,178,157,33433,4.708,23,5727,สงขลา
4145,100,1322,464,53,11,2,2634,182,106,99,327,5200,13.981,8,1621,สงขลา
4208,100,2039,1483,44,30,8,289,326,300,299,216,5034,23.421,242,1342,สงขลา
4243,100,893,462,9,6,0,909,34,5,2,1,2321,2.068,9,858,สงขลา
4243,100,241,256,11,1,3,381,29,0,0,0,922,3.579,34,675,สงขลา
4287,101,6422,4693,919,726,395,1579,963,787,652,526,17662,22.925,298,3417,สงขลา
4309,100,2545,907,394,181,139,1797,314,184,122,91,6674,15.448,53,2383,สงขลา
