date,time,temperature_F,humidity_%,pressure_in,condition,เกิดเหตุ,รถน้อยกว่า4ล้อacc,รถ4ล้อacc,รถมากกว่า4ล้อacc,รถน้อยกว่า4ล้อทั้งหมด,รถ4ล้อทั้งหมด,รถมากกว่า4ล้อทั้งหมด
1/1/2024,12:00 AM,77,94,29.79,Clear,0,0,0,0,0,4,3
1/1/2024,12:30 AM,77,94,29.79,Clear,0,0,0,0,1,4,2
1/1/2024,1:00 AM,75,100,29.79,Clear,0,0,0,0,0,3,2
1/1/2024,1:30 AM,75,100,29.79,Clear,0,0,0,0,0,4,3
1/1/2024,2:00 AM,75,94,29.76,Clear,0,0,0,0,0,3,2
1/1/2024,2:30 AM,75,94,29.73,Clear,0,0,0,0,0,3,2
1/1/2024,3:00 AM,75,94,29.73,Clear,0,0,0,0,0,3,2
1/1/2024,3:30 AM,75,94,29.73,Clear,0,0,0,0,0,3,2
1/1/2024,4:00 AM,75,94,29.73,Clear,0,0,0,0,0,4,2
1/1/2024,4:30 AM,73,100,29.73,Clear,0,0,0,0,0,3,2
1/1/2024,5:00 AM,73,100,29.73,Clear,0,0,0,0,4,13,1
1/1/2024,5:30 AM,73,100,29.73,Clear,0,0,0,0,3,16,2
1/1/2024,6:00 AM,73,100,29.73,Clear,0,0,0,0,3,15,2
1/1/2024,6:30 AM,73,100,29.76,Clear,0,0,0,0,3,14,2
1/1/2024,7:00 AM,73,100,29.76,Clear,0,0,0,0,3,17,2
1/1/2024,7:30 AM,75,100,29.76,Clear,0,0,0,0,3,15,2
1/1/2024,8:00 AM,79,94,29.79,Clear,0,0,0,0,3,15,2
1/1/2024,8:30 AM,82,89,29.79,Clear,0,0,0,0,3,15,1
1/1/2024,9:00 AM,82,89,29.79,Clear,0,0,0,0,2,7,2
1/1/2024,9:30 AM,84,84,29.79,Clear,0,0,0,0,2,7,2
1/1/2024,10:00 AM,84,84,29.81,Clear,0,0,0,0,2,8,1
1/1/2024,10:30 AM,86,79,29.79,Clear,0,0,0,0,2,6,1
1/1/2024,11:00 AM,86,79,29.79,Clear,0,0,0,0,2,7,2
1/1/2024,11:30 AM,90,70,29.79,Clear,0,0,0,0,2,6,2
1/1/2024,12:00 PM,88,75,29.79,Clear,0,0,0,0,2,7,2
1/1/2024,12:30 PM,90,66,29.76,Clear,0,0,0,0,2,7,2
1/1/2024,1:00 PM,90,66,29.76,Clear,0,0,0,0,2,7,1
1/1/2024,1:30 PM,90,62,29.73,Clear,0,0,0,0,2,8,2
1/1/2024,2:00 PM,90,62,29.73,Clear,0,0,0,0,2,7,2
1/1/2024,2:30 PM,90,59,29.7,Clear,0,0,0,0,2,7,2
1/1/2024,3:00 PM,90,62,29.7,Clear,0,0,0,0,2,7,1
1/1/2024,3:30 PM,90,59,29.7,Clear,0,0,0,0,2,7,2
1/1/2024,4:00 PM,90,59,29.7,Clear,0,0,0,0,3,14,2
1/1/2024,4:30 PM,88,62,29.7,Clear,0,0,0,0,3,16,2
1/1/2024,5:00 PM,88,62,29.7,Clear,0,0,0,0,2,12,2
1/1/2024,5:30 PM,86,66,29.73,Clear,0,0,0,0,3,13,2
1/1/2024,6:00 PM,84,70,29.73,Clear,0,0,0,0,3,13,3
1/1/2024,6:30 PM,82,74,29.73,Clear,0,0,0,0,3,15,2
1/1/2024,7:00 PM,82,79,29.76,Clear,0,0,0,0,3,14,2
1/1/2024,7:30 PM,82,79,29.76,Clear,0,0,0,0,3,15,3
1/1/2024,8:00 PM,81,84,29.76,Clear,0,0,0,0,2,9,2
1/1/2024,8:30 PM,81,84,29.79,Clear,0,0,0,0,2,9,2
1/1/2024,9:00 PM,81,84,29.79,Clear,0,0,0,0,2,8,2
1/1/2024,9:30 PM,79,89,29.79,Clear,0,0,0,0,2,8,2
1/1/2024,10:00 PM,79,89,29.79,Clear,0,0,0,0,2,7,1
1/1/2024,10:30 PM,79,89,29.79,Clear,0,0,0,0,2,8,2
1/1/2024,11:00 PM,79,89,29.79,Clear,0,0,0,0,2,10,2
1/1/2024,11:30 PM,79,89,29.79,Clear,0,0,0,0,2,7,2
