date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,รถที่เกิดเหตุ,เกิดเหตุ,รถน้อยกว่า4ล้อacc,รถ4ล้อacc,รถมากกว่า4ล้อacc,รถน้อยกว่า4ล้อทั้งหมด,รถ4ล้อทั้งหมด,รถมากกว่า4ล้อทั้งหมด
1/1/2023,12:00 AM,72,94,3,29.84,Clear,0,0,0,0,0,,,
1/1/2023,12:30 AM,72,94,3,29.84,Clear,0,0,0,0,0,,,
1/1/2023,1:00 AM,72,94,0,29.84,Clear,0,0,0,0,0,,,
1/1/2023,1:30 AM,72,94,3,29.84,Clear,0,0,0,0,0,,,
1/1/2023,2:00 AM,72,94,5,29.81,Clear,0,0,0,0,0,,,
1/1/2023,2:30 AM,72,94,6,29.81,Clear,0,0,0,0,0,,,
1/1/2023,3:00 AM,70,100,5,29.81,Clear,0,0,0,0,0,,,
1/1/2023,3:30 AM,70,100,0,29.81,Clear,0,0,0,0,0,,,
1/1/2023,4:00 AM,70,100,0,29.81,Clear,0,0,0,0,0,,,
1/1/2023,4:30 AM,70,100,0,29.81,Clear,0,0,0,0,0,,,
1/1/2023,5:00 AM,70,100,0,29.79,Clear,0,0,0,0,0,,,
1/1/2023,5:30 AM,72,94,2,29.81,Clear,0,0,0,0,0,,,
1/1/2023,6:00 AM,70,100,0,29.81,Clear,0,0,0,0,0,,,
1/1/2023,6:30 AM,70,100,0,29.81,Clear,0,0,0,0,0,,,
1/1/2023,7:00 AM,70,100,0,29.81,Clear,0,0,0,0,0,,,
1/1/2023,7:30 AM,73,94,0,29.84,Clear,0,0,0,0,0,,,
1/1/2023,8:00 AM,75,94,1,29.84,Clear,0,0,0,0,0,,,
1/1/2023,8:30 AM,77,94,2,29.84,Clear,0,0,0,0,0,,,
1/1/2023,9:00 AM,81,84,5,29.87,Clear,0,0,0,0,0,,,
1/1/2023,9:30 AM,81,84,8,29.87,Clear,0,0,0,0,0,,,
1/1/2023,10:00 AM,84,79,9,29.87,Clear,0,0,0,0,0,,,
1/1/2023,10:30 AM,82,79,10,29.84,Clear,0,0,0,0,0,,,
1/1/2023,11:00 AM,86,70,12,29.84,Clear,0,0,0,0,0,,,
1/1/2023,11:30 AM,84,66,13,29.84,Clear,0,0,0,0,0,,,
1/1/2023,12:00 PM,88,58,14,29.81,Clear,0,0,0,0,0,,,
1/1/2023,12:30 PM,88,55,15,29.81,Clear,0,0,0,0,0,,,
1/1/2023,1:00 PM,88,52,13,29.79,Clear,0,0,0,0,0,,,
1/1/2023,1:30 PM,88,55,13,29.76,Clear,0,0,0,0,0,,,
1/1/2023,2:00 PM,88,55,12,29.76,Clear,0,0,0,0,0,,,
1/1/2023,2:30 PM,88,55,15,29.73,Clear,0,0,0,0,0,,,
1/1/2023,3:00 PM,88,52,13,29.73,Clear,0,0,0,0,0,,,
1/1/2023,3:30 PM,88,55,12,29.73,Clear,0,0,0,0,0,,,
1/1/2023,4:00 PM,86,58,10,29.73,Clear,0,0,0,0,0,,,
1/1/2023,4:30 PM,86,55,12,29.73,Clear,0,0,0,0,0,,,
1/1/2023,5:00 PM,84,62,12,29.73,Clear,0,0,0,0,0,,,
1/1/2023,5:30 PM,84,62,9,29.73,Clear,0,0,0,0,0,,,
1/1/2023,6:00 PM,82,66,9,29.76,Clear,0,0,0,0,0,,,
1/1/2023,6:30 PM,81,70,8,29.76,Clear,0,0,0,0,0,,,
1/1/2023,7:00 PM,79,78,6,29.79,Clear,0,0,0,0,0,,,
1/1/2023,7:30 PM,79,78,3,29.79,Clear,0,0,0,0,0,,,
1/1/2023,8:00 PM,77,83,2,29.81,Clear,0,0,0,0,0,,,
1/1/2023,8:30 PM,75,83,3,29.81,Clear,0,0,0,0,0,,,
1/1/2023,9:00 PM,73,88,3,29.84,Clear,0,0,0,0,0,,,
1/1/2023,9:30 PM,73,88,2,29.84,Clear,0,0,0,0,0,,,
1/1/2023,10:00 PM,73,88,2,29.84,Clear,0,0,0,0,0,,,
1/1/2023,10:30 PM,72,94,0,29.84,Clear,0,0,0,0,0,,,
1/1/2023,11:00 PM,72,94,2,29.84,Clear,0,0,0,0,0,,,
1/1/2023,11:30 PM,72,94,3,29.84,Clear,0,0,0,0,0,,,
1/2/2023,12:00 AM,72,94,2,29.84,Clear,0,0,0,0,0,,,
1/2/2023,12:30 AM,72,94,2,29.84,Clear,0,0,0,0,0,,,
1/2/2023,1:00 AM,72,94,2,29.84,Clear,0,0,0,0,0,,,
1/2/2023,1:30 AM,72,94,0,29.84,Clear,2,1,1,1,0,,,
1/2/2023,2:00 AM,72,94,3,29.81,Clear,0,0,0,0,0,,,
1/2/2023,2:30 AM,72,94,5,29.81,Clear,0,0,0,0,0,,,
1/2/2023,3:00 AM,70,100,2,29.81,Clear,0,0,0,0,0,,,
1/2/2023,3:30 AM,70,100,2,29.81,Clear,0,0,0,0,0,,,
1/2/2023,4:00 AM,70,100,2,29.81,Clear,0,0,0,0,0,,,
1/2/2023,4:30 AM,70,100,2,29.81,Clear,0,0,0,0,0,,,
1/2/2023,5:00 AM,70,100,2,29.81,Clear,0,0,0,0,0,,,
1/2/2023,5:30 AM,70,100,2,29.81,Clear,0,0,0,0,0,,,
1/2/2023,6:00 AM,73,94,3,29.81,Clear,0,0,0,0,0,,,
1/2/2023,6:30 AM,72,94,2,29.81,Clear,0,0,0,0,0,,,
1/2/2023,7:00 AM,70,100,2,29.84,Clear,0,0,0,0,0,,,
1/2/2023,7:30 AM,72,100,0,29.84,Clear,0,0,0,0,0,,,
1/2/2023,8:00 AM,75,94,3,29.84,Clear,0,0,0,0,0,,,
1/2/2023,8:30 AM,75,94,2,29.87,Clear,0,0,0,0,0,,,
1/2/2023,9:00 AM,79,89,2,29.87,Clear,0,0,0,0,0,,,
1/2/2023,9:30 AM,81,89,6,29.87,Clear,0,0,0,0,0,,,
1/2/2023,10:00 AM,81,89,7,29.87,Clear,0,0,0,0,0,,,
1/2/2023,10:30 AM,82,84,8,29.87,Clear,0,0,0,0,0,,,
1/2/2023,11:00 AM,84,74,9,29.87,Clear,0,0,0,0,0,,,
1/2/2023,11:30 AM,84,74,12,29.87,Clear,0,0,0,0,0,,,
1/2/2023,12:00 PM,84,70,12,29.84,Clear,0,0,0,0,0,,,
1/2/2023,12:30 PM,86,66,12,29.84,Clear,0,0,0,0,0,,,
1/2/2023,1:00 PM,86,66,12,29.81,Clear,0,0,0,0,0,,,
1/2/2023,1:30 PM,86,66,9,29.81,Clear,0,0,0,0,0,,,
1/2/2023,2:00 PM,86,62,12,29.79,Clear,0,0,0,0,0,,,
1/2/2023,2:30 PM,84,66,13,29.79,Clear,0,0,0,0,0,,,
1/2/2023,3:00 PM,86,66,12,29.76,Clear,0,0,0,0,0,,,
1/2/2023,3:30 PM,84,70,13,29.76,Clear,0,0,0,0,0,,,
1/2/2023,4:00 PM,84,70,10,29.76,Clear,0,0,0,0,0,,,
1/2/2023,4:30 PM,82,74,10,29.76,Clear,0,0,0,0,0,,,
1/2/2023,5:00 PM,82,70,10,29.76,Clear,0,0,0,0,0,,,
1/2/2023,5:30 PM,82,70,9,29.76,Clear,0,0,0,0,0,,,
1/2/2023,6:00 PM,81,74,9,29.79,Clear,0,0,0,0,0,,,
1/2/2023,6:30 PM,81,74,6,29.79,Clear,0,0,0,0,0,,,
1/2/2023,7:00 PM,79,78,5,29.81,Clear,0,0,0,0,0,,,
1/2/2023,7:30 PM,79,83,5,29.81,Clear,0,0,0,0,0,,,
1/2/2023,8:00 PM,79,83,6,29.84,Clear,0,0,0,0,0,,,
1/2/2023,8:30 PM,79,83,5,29.84,Clear,0,0,0,0,0,,,
1/2/2023,9:00 PM,79,83,5,29.84,Clear,0,0,0,0,0,,,
1/2/2023,9:30 PM,77,89,3,29.87,Clear,0,0,0,0,0,,,
1/2/2023,10:00 PM,77,89,3,29.87,Clear,0,0,0,0,0,,,
1/2/2023,10:30 PM,75,89,3,29.87,Clear,0,0,0,0,0,,,
1/2/2023,11:00 PM,75,94,5,29.84,Clear,0,0,0,0,0,,,
1/2/2023,11:30 PM,75,94,3,29.84,Clear,0,0,0,0,0,,,
1/3/2023,12:00 AM,77,89,3,29.84,Clear,0,0,0,0,0,,,
1/3/2023,12:30 AM,75,94,5,29.84,Clear,0,0,0,0,0,,,
1/3/2023,1:00 AM,75,94,5,29.84,Clear,0,0,0,0,0,,,
1/3/2023,1:30 AM,75,94,3,29.84,Clear,0,0,0,0,0,,,
1/3/2023,2:00 AM,73,94,0,29.81,Clear,0,0,0,0,0,,,
1/3/2023,2:30 AM,73,94,0,29.81,Clear,0,0,0,0,0,,,
1/3/2023,3:00 AM,73,100,5,29.79,Clear,0,0,0,0,0,,,
1/3/2023,3:30 AM,73,100,5,29.79,Clear,0,0,0,0,0,,,
1/3/2023,4:00 AM,73,94,3,29.79,Clear,0,0,0,0,0,,,
1/3/2023,4:30 AM,73,94,2,29.79,Clear,0,0,0,0,0,,,
1/3/2023,5:00 AM,73,100,3,29.79,Clear,0,0,0,0,0,,,
1/3/2023,5:30 AM,73,100,3,29.81,Clear,0,0,0,0,0,,,
1/3/2023,6:00 AM,72,100,2,29.81,Clear,0,0,0,0,0,,,
1/3/2023,6:30 AM,72,100,5,29.81,Clear,0,0,0,0,0,,,
1/3/2023,7:00 AM,72,100,0,29.81,Clear,0,0,0,0,0,,,
1/3/2023,7:30 AM,73,100,5,29.84,Clear,0,0,0,0,0,,,
1/3/2023,8:00 AM,77,94,5,29.84,Clear,0,0,0,0,0,,,
1/3/2023,8:30 AM,79,94,6,29.84,Clear,0,0,0,0,0,,,
1/3/2023,9:00 AM,81,89,7,29.84,Clear,0,0,0,0,0,,,
1/3/2023,9:30 AM,82,84,8,29.84,Clear,0,0,0,0,0,,,
1/3/2023,10:00 AM,82,84,8,29.84,Clear,0,0,0,0,0,,,
1/3/2023,10:30 AM,84,79,9,29.84,Clear,0,0,0,0,0,,,
1/3/2023,11:00 AM,86,74,13,29.84,Clear,0,0,0,0,0,,,
1/3/2023,11:30 AM,86,74,12,29.84,Clear,0,0,0,0,0,,,
1/3/2023,12:00 PM,88,66,16,29.81,Rain,0,0,0,0,0,,,
1/3/2023,12:30 PM,86,74,8,29.81,Clear,0,0,0,0,0,,,
1/3/2023,1:00 PM,88,66,14,29.79,Clear,0,0,0,0,0,,,
1/3/2023,1:30 PM,88,66,15,29.79,Clear,0,0,0,0,0,,,
1/3/2023,2:00 PM,88,62,14,29.76,Clear,0,0,0,0,0,,,
1/3/2023,2:30 PM,88,62,14,29.76,Clear,0,0,0,0,0,,,
1/3/2023,3:00 PM,86,66,14,29.73,Clear,0,0,0,0,0,,,
1/3/2023,3:30 PM,84,70,12,29.73,Clear,0,0,0,0,0,,,
1/3/2023,4:00 PM,84,70,7,29.73,Clear,0,0,0,0,0,,,
1/3/2023,4:30 PM,84,70,8,29.73,Clear,0,0,0,0,0,,,
1/3/2023,5:00 PM,84,70,9,29.73,Clear,0,0,0,0,0,,,
1/3/2023,5:30 PM,84,70,9,29.73,Clear,0,0,0,0,0,,,
1/3/2023,6:00 PM,82,74,9,29.76,Clear,0,0,0,0,0,,,
1/3/2023,6:30 PM,81,79,6,29.76,Clear,1,1,0,1,0,,,
1/3/2023,7:00 PM,81,79,3,29.79,Clear,0,0,0,0,0,,,
1/3/2023,7:30 PM,79,83,0,29.79,Clear,0,0,0,0,0,,,
1/3/2023,8:00 PM,79,89,5,29.81,Rain,0,0,0,0,0,,,
1/3/2023,8:30 PM,79,89,2,29.81,Clear,0,0,0,0,0,,,
1/3/2023,9:00 PM,77,89,2,29.84,Clear,0,0,0,0,0,,,
1/3/2023,9:30 PM,77,89,2,29.84,Clear,0,0,0,0,0,,,
1/3/2023,10:00 PM,77,94,2,29.84,Clear,0,0,0,0,0,,,
1/3/2023,10:30 PM,77,89,10,29.84,Rain,0,0,0,0,0,,,
1/3/2023,11:00 PM,75,94,3,29.84,Rain,0,0,0,0,0,,,
1/3/2023,11:30 PM,75,94,2,29.84,Rain,0,0,0,0,0,,,
1/4/2023,12:00 AM,75,94,2,29.84,Clear,0,0,0,0,0,,,
1/4/2023,12:30 AM,75,100,3,29.84,Clear,0,0,0,0,0,,,
1/4/2023,1:00 AM,75,100,5,29.84,Rain,0,0,0,0,0,,,
1/4/2023,1:30 AM,75,94,5,29.81,Clear,0,0,0,0,0,,,
1/4/2023,2:00 AM,75,94,3,29.81,Clear,0,0,0,0,0,,,
1/4/2023,2:30 AM,75,94,5,29.79,Clear,0,0,0,0,0,,,
1/4/2023,3:00 AM,73,100,6,29.79,Clear,0,0,0,0,0,,,
1/4/2023,3:30 AM,73,94,6,29.79,Clear,0,0,0,0,0,,,
1/4/2023,4:00 AM,73,94,0,29.79,Clear,0,0,0,0,0,,,
1/4/2023,4:30 AM,73,94,2,29.79,Clear,0,0,0,0,0,,,
1/4/2023,5:00 AM,72,100,0,29.79,Clear,0,0,0,0,0,,,
1/4/2023,5:30 AM,72,100,0,29.79,Clear,0,0,0,0,0,,,
1/4/2023,6:00 AM,72,100,0,29.79,Clear,0,0,0,0,0,,,
1/4/2023,6:30 AM,72,100,1,29.79,Clear,0,0,0,0,0,,,
1/4/2023,7:00 AM,72,100,3,29.81,Clear,0,0,0,0,0,,,
1/4/2023,7:30 AM,73,100,1,29.81,Clear,0,0,0,0,0,,,
1/4/2023,8:00 AM,75,94,2,29.81,Clear,0,0,0,0,0,,,
1/4/2023,8:30 AM,75,100,2,29.84,Clear,0,0,0,0,0,,,
1/4/2023,9:00 AM,77,94,2,29.84,Rain,0,0,0,0,0,,,
1/4/2023,9:30 AM,81,89,2,29.84,Clear,0,0,0,0,0,,,
1/4/2023,10:00 AM,82,84,6,29.84,Rain,0,0,0,0,0,,,
1/4/2023,10:30 AM,82,89,7,29.84,Clear,0,0,0,0,0,,,
1/4/2023,11:00 AM,81,89,9,29.84,Rain,0,0,0,0,0,,,
1/4/2023,11:30 AM,75,94,6,29.81,Rain,0,0,0,0,0,,,
1/4/2023,12:00 PM,77,94,5,29.81,Rain,0,0,0,0,0,,,
1/4/2023,12:30 PM,79,94,7,29.81,Rain,0,0,0,0,0,,,
1/4/2023,1:00 PM,82,89,7,29.79,Clear,0,0,0,0,0,,,
1/4/2023,1:30 PM,82,89,8,29.76,Clear,0,0,0,0,0,,,
1/4/2023,2:00 PM,82,84,8,29.76,Clear,0,0,0,0,0,,,
1/4/2023,2:30 PM,84,79,10,29.73,Rain,0,0,0,0,0,,,
1/4/2023,3:00 PM,81,89,10,29.73,Rain,0,0,0,0,0,,,
1/4/2023,3:30 PM,81,89,8,29.73,Rain,0,0,0,0,0,,,
1/4/2023,4:00 PM,81,89,7,29.73,Clear,0,0,0,0,0,,,
1/4/2023,4:30 PM,82,84,7,29.73,Clear,0,0,0,0,0,,,
1/4/2023,5:00 PM,82,84,6,29.73,Rain,0,0,0,0,0,,,
1/4/2023,5:30 PM,81,84,6,29.76,Rain,0,0,0,0,0,,,
1/4/2023,6:00 PM,79,83,8,29.76,Rain,0,0,0,0,0,,,
1/4/2023,6:30 PM,77,89,6,29.76,Rain,0,0,0,0,0,,,
1/4/2023,7:00 PM,77,94,5,29.79,Clear,0,0,0,0,0,,,
1/4/2023,7:30 PM,77,94,3,29.79,Clear,0,0,0,0,0,,,
1/4/2023,8:00 PM,77,94,2,29.81,Clear,0,0,0,0,0,,,
1/4/2023,8:30 PM,77,94,5,29.81,Clear,0,0,0,0,0,,,
1/4/2023,9:00 PM,77,94,3,29.84,Clear,0,0,0,0,0,,,
1/4/2023,9:30 PM,77,94,3,29.84,Clear,0,0,0,0,0,,,
1/4/2023,10:00 PM,75,100,5,29.84,Clear,0,0,0,0,0,,,
1/4/2023,10:30 PM,75,100,6,29.84,Clear,0,0,0,0,0,,,
1/4/2023,11:00 PM,75,94,3,29.84,Clear,0,0,0,0,0,,,
1/4/2023,11:30 PM,75,94,3,29.81,Clear,0,0,0,0,0,,,
1/5/2023,12:00 AM,75,94,2,29.84,Clear,0,0,0,0,0,,,
1/5/2023,12:30 AM,75,94,2,29.81,Clear,0,0,0,0,0,,,
1/5/2023,1:00 AM,75,94,3,29.81,Clear,0,0,0,0,0,,,
1/5/2023,1:30 AM,75,94,3,29.81,Clear,0,0,0,0,0,,,
1/5/2023,2:00 AM,75,94,3,29.79,Clear,0,0,0,0,0,,,
1/5/2023,2:30 AM,75,94,3,29.79,Clear,0,0,0,0,0,,,
1/5/2023,3:00 AM,75,94,2,29.76,Clear,0,0,0,0,0,,,
1/5/2023,3:30 AM,75,94,3,29.76,Clear,0,0,0,0,0,,,
1/5/2023,4:00 AM,75,94,2,29.76,Clear,0,0,0,0,0,,,
1/5/2023,4:30 AM,75,94,2,29.76,Clear,0,0,0,0,0,,,
1/5/2023,5:00 AM,73,100,3,29.76,Clear,0,0,0,0,0,,,
1/5/2023,5:30 AM,73,100,3,29.76,Clear,0,0,0,0,0,,,
1/5/2023,6:00 AM,75,94,0,29.76,Clear,0,0,0,0,0,,,
1/5/2023,6:30 AM,75,94,0,29.76,Clear,0,0,0,0,0,,,
1/5/2023,7:00 AM,75,94,0,29.79,Clear,0,0,0,0,0,,,
