ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ
2024,03/01/2024,03:00 PM,4,สงขลา,6.706090205,100.4438246,2,1,0,1,1
2024,08/01/2024,11:00 AM,4,สงขลา,6.733140315,100.4500647,1,0,0,1,1
2024,09/01/2024,04:00 PM,4,สงขลา,6.792944896,100.4531251,4,0,2,2,1
2024,16/01/2024,11:30 PM,4,สงขลา,6.976536889,100.4733666,1,0,1,0,1
2024,20/01/2024,07:00 PM,4,สงขลา,7.142180627,100.2975061,2,1,1,0,1
2024,23/01/2024,05:30 PM,4,สงขลา,6.754715884,100.4550321,3,0,2,1,1
2024,26/01/2024,02:30 AM,4,สงขลา,6.980985006,100.4601721,1,0,0,1,1
2024,06/02/2024,02:30 PM,4,สงขลา,6.731486148,100.4498528,2,1,1,0,1
2024,07/02/2024,03:00 AM,4,สงขลา,6.719222232,100.4469949,1,0,1,0,1
2024,07/02/2024,09:00 AM,4,สงขลา,7.184778456,100.2548137,2,2,0,0,1
2024,07/02/2024,01:00 PM,4,สงขลา,7.057378803,100.3753529,2,1,0,1,1
2024,07/02/2024,03:00 PM,4,สงขลา,7.088042752,100.3481241,1,0,1,0,1
2024,09/02/2024,08:30 AM,4,สงขลา,6.745882003,100.4514809,3,0,2,1,1
2024,23/02/2024,08:30 PM,4,สงขลา,6.77135372,100.4561788,2,1,1,0,1
2024,04/03/2024,01:00 AM,4,สงขลา,6.589080313,100.414048,1,0,0,1,1
2024,11/03/2024,07:00 AM,4,สงขลา,6.668409603,100.4346579,2,2,0,0,1
2024,13/03/2024,09:00 AM,4,สงขลา,7.118241911,100.3213953,1,0,1,0,1
2024,14/03/2024,12:30 PM,4,สงขลา,6.817128177,100.4578781,2,0,1,1,1
2024,15/03/2024,04:00 AM,4,สงขลา,6.98575675,100.4395865,1,0,0,1,1
2024,21/03/2024,02:30 PM,4,สงขลา,6.65132702,100.4287979,1,0,1,0,1
2024,22/03/2024,04:30 AM,4,สงขลา,7.004101436,100.4150887,1,0,1,0,1
2024,07/04/2024,07:00 AM,4,สงขลา,7.187780218,100.2249713,2,0,0,2,1
2024,10/04/2024,04:30 AM,4,สงขลา,7.137202913,100.304598,1,0,1,0,1
2024,11/04/2024,02:30 PM,4,สงขลา,7.12037897,100.3195021,1,0,1,0,1
2024,13/04/2024,09:30 AM,4,สงขลา,6.78138835,100.4529682,1,0,1,0,1
2024,13/04/2024,02:30 PM,4,สงขลา,6.735970498,100.4504268,1,0,1,0,1
2024,16/04/2024,07:00 AM,4,สงขลา,6.596085213,100.4157753,2,1,1,0,1
2024,16/04/2024,06:00 PM,4,สงขลา,6.779000567,100.4528368,2,1,1,0,1
2024,17/04/2024,04:30 PM,4,สงขลา,6.749619076,100.4517947,1,0,1,0,1
2024,20/04/2024,01:00 PM,4,สงขลา,6.982856654,100.4549329,1,0,0,1,1
2024,01/05/2024,08:30 PM,4,สงขลา,7.110982822,100.3278123,2,0,2,0,1
2024,08/05/2024,03:00 PM,4,สงขลา,7.186065103,100.2469638,2,0,1,1,1
2024,10/05/2024,04:00 PM,4,สงขลา,6.815464578,100.4571645,2,0,2,0,1
2024,11/05/2024,03:30 AM,4,สงขลา,6.953889145,100.4734241,1,0,0,1,1
2024,14/05/2024,08:30 AM,4,สงขลา,6.974008694,100.4791788,2,0,1,1,1
2024,14/05/2024,03:30 PM,4,สงขลา,7.043207679,100.3879482,3,0,3,0,1
2024,26/05/2024,02:00 AM,4,สงขลา,6.750639241,100.4519127,1,0,1,0,1
2024,01/06/2024,08:00 AM,4,สงขลา,6.947132364,100.4719958,2,0,1,1,1
2024,08/06/2024,02:30 PM,4,สงขลา,6.736869494,100.4506534,1,0,1,0,1
2024,13/06/2024,06:00 AM,4,สงขลา,6.701465109,100.4426229,1,0,1,0,1
2024,14/06/2024,03:30 AM,4,สงขลา,6.871562758,100.4702671,1,0,1,0,1
2024,16/06/2024,02:30 AM,4,สงขลา,6.764675373,100.4591628,1,0,1,0,1
2024,02/07/2024,05:00 AM,4,สงขลา,6.677907872,100.4375375,1,0,1,0,1
2024,06/07/2024,05:30 AM,4,สงขลา,6.583141365,100.4125479,1,0,1,0,1
2024,08/07/2024,02:00 PM,4,สงขลา,6.749888462,100.4517618,1,0,1,0,1
2024,08/07/2024,05:30 PM,4,สงขลา,6.747281744,100.4515976,1,0,1,0,1
2024,09/07/2024,03:30 AM,4,สงขลา,6.748548541,100.4516581,1,0,0,1,1
2024,12/07/2024,02:00 PM,4,สงขลา,7.036033928,100.3943238,1,0,1,0,1
2024,27/07/2024,02:00 PM,4,สงขลา,6.760168225,100.459042,2,1,1,0,1
2024,29/07/2024,04:00 AM,4,สงขลา,7.004285127,100.4150377,1,0,1,0,1
2024,03/08/2024,11:00 AM,4,สงขลา,6.577877329,100.4109554,2,0,2,0,1
2024,21/08/2024,08:30 AM,4,สงขลา,6.982204386,100.4572624,1,0,1,0,1
2024,29/08/2024,08:00 PM,4,สงขลา,6.54860503,100.4146113,2,0,0,2,1
2024,14/09/2024,12:30 PM,4,สงขลา,7.004282465,100.4150458,1,0,0,1,1
2024,20/09/2024,12:00 AM,4,สงขลา,6.707681241,100.4443234,1,0,1,0,1
2024,26/09/2024,11:00 AM,4,สงขลา,6.625723717,100.4216051,2,0,0,2,1
2024,29/09/2024,05:30 PM,4,สงขลา,6.799749833,100.4532531,1,0,1,0,1
2024,02/10/2024,10:30 AM,4,สงขลา,7.057311353,100.3754136,1,0,1,0,1
2024,07/10/2024,08:30 AM,4,สงขลา,6.987611522,100.4224983,1,0,1,0,1
2024,13/10/2024,05:00 AM,4,สงขลา,6.520644421,100.4189801,1,0,1,0,1
2024,13/10/2024,05:30 AM,4,สงขลา,6.547759705,100.4148775,2,0,1,1,1
2024,14/10/2024,10:30 AM,4,สงขลา,6.755492321,100.455527,2,0,1,1,1
2024,14/10/2024,11:00 AM,4,สงขลา,6.546193463,100.4151356,2,0,1,1,1
2024,17/11/2024,06:00 AM,4,สงขลา,6.788451752,100.4529977,1,0,0,1,1
2024,29/11/2024,01:00 AM,4,สงขลา,6.990572866,100.4190672,1,0,1,0,1
2024,13/12/2024,03:30 AM,4,สงขลา,6.53610206,100.4165331,1,0,1,0,1
2024,27/12/2024,01:30 PM,4,สงขลา,6.655758727,100.4302861,2,1,0,1,1
2024,28/12/2024,03:30 PM,4,สงขลา,7.088483717,100.3477338,1,0,1,0,1
2024,30/12/2024,03:30 AM,4,สงขลา,6.965182549,100.4757884,2,0,2,0,1
