ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ
2025,01/01/2025,04:50 AM,407,สงขลา,1,1,0,0,1
2025,01/01/2025,05:05 PM,4054,สงขลา,1,1,0,0,1
2025,02/01/2025,03:30 PM,4,สงขลา,1,0,1,0,1
2025,03/01/2025,06:30 AM,สข.2004,สงขลา,1,1,0,0,1
2025,03/01/2025,07:40 AM,408,สงขลา,2,1,1,0,1
2025,03/01/2025,02:17 PM,4,สงขลา,2,2,0,0,1
2025,04/01/2025,07:45 PM,สข.4040,สงขลา,2,1,1,0,1
2025,05/01/2025,09:45 AM,สข.2030,สงขลา,2,1,1,0,1
2025,09/01/2025,12:42 AM,43,สงขลา,1,0,1,0,1
2025,09/01/2025,07:00 AM,42,สงขลา,1,0,1,0,1
2025,09/01/2025,11:55 AM,4,สงขลา,2,1,1,0,1
2025,11/01/2025,09:30 PM,408,สงขลา,1,0,1,0,1
2025,14/01/2025,08:00 PM,43,สงขลา,1,0,1,0,1
2025,20/01/2025,10:00 AM,406,สงขลา,1,0,1,0,1
2025,23/01/2025,09:00 PM,407,สงขลา,2,0,2,0,1
2025,24/01/2025,01:40 PM,406,สงขลา,1,0,1,0,1
2025,26/01/2025,01:30 PM,42,สงขลา,1,0,0,1,1
2025,27/01/2025,02:30 PM,43,สงขลา,1,0,1,0,1
2025,30/01/2025,08:50 PM,43,สงขลา,1,0,1,0,1
2025,31/01/2025,10:46 AM,408,สงขลา,2,0,1,1,1
2025,01/02/2025,03:45 PM,4,สงขลา,2,0,2,0,1
2025,03/02/2025,07:00 PM,4085,สงขลา,1,0,1,0,1
2025,04/02/2025,12:20 AM,4135,สงขลา,1,0,1,0,1
2025,08/02/2025,05:20 AM,4,สงขลา,1,0,0,1,1
2025,08/02/2025,06:30 AM,407,สงขลา,1,0,1,0,1
2025,08/02/2025,07:45 PM,43,สงขลา,1,0,0,1,1
2025,09/02/2025,03:00 AM,414,สงขลา,1,0,1,0,1
2025,16/02/2025,02:00 AM,4135,สงขลา,1,0,1,0,1
2025,19/02/2025,02:00 PM,4085,สงขลา,1,0,0,1,1
2025,19/02/2025,05:00 PM,43,สงขลา,1,0,1,0,1
2025,19/02/2025,07:40 PM,43,สงขลา,1,0,1,0,1
2025,21/02/2025,04:00 PM,4,สงขลา,1,0,0,1,1
2025,24/02/2025,06:29 PM,43,สงขลา,1,0,1,0,1
2025,24/02/2025,09:30 PM,408,สงขลา,2,0,2,0,1
2025,24/02/2025,09:40 PM,408,สงขลา,2,1,1,0,1
2025,25/02/2025,07:00 AM,408,สงขลา,1,0,1,0,1
2025,27/02/2025,08:15 AM,406,สงขลา,1,0,1,0,1
2025,01/03/2025,01:20 PM,4085,สงขลา,2,0,2,0,1
2025,02/03/2025,11:10 PM,408,สงขลา,2,0,2,0,1
2025,03/03/2025,06:00 AM,408,สงขลา,1,0,1,0,1
2025,04/03/2025,02:20 PM,สข.4034,สงขลา,1,0,1,0,1
2025,06/03/2025,04:30 PM,4,สงขลา,2,0,2,0,1
2025,11/03/2025,12:30 PM,4,สงขลา,1,0,1,0,1
2025,11/03/2025,12:50 PM,406,สงขลา,1,0,1,0,1
2025,12/03/2025,06:00 AM,408,สงขลา,1,0,1,0,1
2025,13/03/2025,02:00 PM,43,สงขลา,1,0,1,0,1
2025,15/03/2025,03:00 PM,408,สงขลา,1,0,1,0,1
2025,15/03/2025,06:50 PM,414,สงขลา,2,1,0,1,1
2025,17/03/2025,05:15 AM,43,สงขลา,1,0,1,0,1
2025,20/03/2025,05:55 PM,414,สงขลา,1,0,1,0,1
2025,22/03/2025,03:55 AM,43,สงขลา,1,0,1,0,1
2025,22/03/2025,06:20 AM,414,สงขลา,1,0,1,0,1
2025,23/03/2025,10:30 PM,4,สงขลา,1,0,1,0,1
2025,25/03/2025,01:00 AM,414,สงขลา,1,0,1,0,1
2025,29/03/2025,02:30 PM,43,สงขลา,1,0,1,0,1
2025,01/04/2025,01:00 AM,4,สงขลา,1,0,1,0,1
2025,01/04/2025,01:15 PM,4,สงขลา,1,0,1,0,1
2025,03/04/2025,05:30 AM,408,สงขลา,1,0,1,0,1
2025,04/04/2025,01:40 AM,43,สงขลา,1,0,1,0,1
2025,09/04/2025,09:00 AM,43,สงขลา,1,0,0,1,1
2025,11/04/2025,04:06 PM,4,สงขลา,1,0,1,0,1
2025,11/04/2025,04:19 PM,4,สงขลา,2,0,2,0,1
2025,11/04/2025,05:10 PM,4135,สงขลา,1,0,1,0,1
2025,12/04/2025,07:00 AM,43,สงขลา,1,0,1,0,1
2025,12/04/2025,04:00 PM,สข.3049,สงขลา,1,1,0,0,1
2025,12/04/2025,09:30 PM,43,สงขลา,1,0,1,0,1
2025,13/04/2025,12:00 PM,สข.3025,สงขลา,2,1,1,0,1
2025,13/04/2025,08:40 PM,43,สงขลา,1,0,1,0,1
2025,14/04/2025,04:30 AM,43,สงขลา,1,1,0,0,1
2025,14/04/2025,01:10 PM,สข.2017,สงขลา,2,2,0,0,1
2025,15/04/2025,08:20 PM,406,สงขลา,2,1,1,0,1
2025,16/04/2025,04:55 PM,สข.3019,สงขลา,1,0,1,0,1
2025,16/04/2025,10:02 PM,สข.2017,สงขลา,1,1,0,0,1
2025,17/04/2025,01:00 AM,4309,สงขลา,1,0,1,0,1
2025,17/04/2025,10:00 PM,4054,สงขลา,1,0,1,0,1
2025,19/04/2025,07:39 AM,4,สงขลา,1,0,1,0,1
2025,23/04/2025,05:36 AM,43,สงขลา,1,0,0,1,1
2025,23/04/2025,03:09 PM,407,สงขลา,2,0,2,0,1
2025,24/04/2025,01:30 AM,4,สงขลา,1,0,1,0,1
2025,25/04/2025,05:21 AM,43,สงขลา,1,0,0,1,1
2025,25/04/2025,04:30 PM,406,สงขลา,1,0,1,0,1
2025,27/04/2025,04:30 AM,43,สงขลา,1,0,1,0,1
2025,29/04/2025,04:00 PM,4,สงขลา,2,0,1,1,1
2025,04/05/2025,04:00 AM,43,สงขลา,1,0,1,0,1
2025,04/05/2025,09:05 PM,4,สงขลา,1,0,1,0,1
2025,06/05/2025,01:00 PM,414,สงขลา,2,1,1,0,1
2025,06/05/2025,01:00 PM,414,สงขลา,1,0,1,0,1
2025,07/05/2025,05:50 AM,43,สงขลา,1,0,1,0,1
2025,10/05/2025,03:00 AM,408,สงขลา,1,0,1,0,1
2025,11/05/2025,03:05 PM,43,สงขลา,1,0,1,0,1
2025,12/05/2025,08:47 AM,4,สงขลา,1,0,1,0,1
2025,12/05/2025,03:50 PM,4243,สงขลา,2,1,1,0,1
2025,14/05/2025,10:15 PM,4,สงขลา,2,1,0,1,1
2025,15/05/2025,01:30 PM,414,สงขลา,1,0,0,1,1
2025,17/05/2025,05:30 AM,43,สงขลา,1,0,1,0,1
2025,18/05/2025,04:30 AM,43,สงขลา,1,0,1,0,1
2025,21/05/2025,04:30 AM,4309,สงขลา,1,0,1,0,1
2025,22/05/2025,12:20 PM,4,สงขลา,6,0,2,4,1
2025,23/05/2025,08:15 PM,43,สงขลา,1,0,1,0,1
2025,26/05/2025,03:20 PM,408,สงขลา,1,0,1,0,1
2025,27/05/2025,07:30 AM,43,สงขลา,1,0,1,0,1
2025,28/05/2025,01:56 PM,406,สงขลา,2,0,2,0,1
2025,30/05/2025,10:50 PM,43,สงขลา,1,0,1,0,1
2025,02/06/2025,12:30 AM,4135,สงขลา,1,0,1,0,1
2025,03/06/2025,09:00 AM,43,สงขลา,1,0,0,1,1
2025,04/06/2025,09:00 AM,4135,สงขลา,1,0,1,0,1
2025,06/06/2025,06:25 AM,414,สงขลา,1,0,1,0,1
2025,06/06/2025,02:00 PM,43,สงขลา,3,0,3,0,1
2025,06/06/2025,03:00 PM,406,สงขลา,1,0,1,0,1
2025,06/06/2025,07:35 PM,414,สงขลา,1,0,1,0,1
