datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,less4whells,4whells,more4whells,day_of_week,is_weekend,is_holiday
2023-01-01,0,77.89583333333333,80.83333333333333,29.80625,90,401,91,6,1,1
2023-01-02,1,77.66666666666667,84.75,29.82333333333333,89,414,90,0,0,1
2023-01-03,1,79.22916666666667,84.85416666666667,29.80395833333333,86,411,98,1,0,1
2023-01-04,0,76.97916666666667,92.97916666666669,29.798541666666665,81,418,94,2,0,0
2023-01-05,0,79.52083333333333,85.58333333333333,29.77333333333333,92,410,92,3,0,0
2023-01-06,0,75.85416666666667,93.58333333333331,29.782916666666665,81,425,96,4,0,0
2023-01-07,0,73.16666666666667,98.5,29.771875,58,432,94,5,1,0
2023-01-08,0,76.22916666666667,93.35416666666669,29.765416666666667,84,403,96,6,1,0
2023-01-09,0,77.3125,92.1875,29.781041666666667,85,430,95,0,0,0
2023-01-10,0,78.14583333333333,92.08333333333331,29.762916666666666,86,419,98,1,0,0
2023-01-11,0,79.6875,87.1875,29.735625,92,405,94,2,0,0
2023-01-12,0,80.75,84.72916666666667,29.723125,90,405,94,3,0,0
2023-01-13,0,80.85416666666667,84.875,29.751666666666665,92,413,97,4,0,0
2023-01-14,1,80.5,82.75,29.720625,92,405,89,5,1,1
2023-01-15,0,81.63829787234043,84.74468085106383,29.69617021276596,93,397,93,6,1,0
2023-01-16,0,80.04166666666667,83.54166666666667,29.74083333333333,91,419,94,0,0,0
2023-01-17,0,77.14583333333333,82.0,29.770208333333333,94,410,90,1,0,0
2023-01-18,0,78.29166666666667,84.72916666666667,29.78770833333333,85,409,90,2,0,0
2023-01-19,0,79.3125,82.9375,29.772291666666664,91,403,95,3,0,0
2023-01-20,0,76.38297872340425,93.76595744680851,29.7536170212766,71,432,91,4,0,0
2023-01-21,0,78.625,90.875,29.726875000000003,81,405,94,5,1,0
2023-01-22,0,79.60416666666667,87.70833333333333,29.704375,83,410,92,6,1,0
2023-01-23,0,80.375,85.47916666666667,29.688125,92,410,95,0,0,0
2023-01-24,0,80.29166666666667,84.35416666666667,29.7075,87,413,96,1,0,0
2023-01-25,0,78.16666666666667,83.83333333333333,29.70875,77,430,95,2,0,0
2023-01-26,0,79.5625,80.04166666666667,29.725625,92,412,93,3,0,0
2023-01-27,0,79.04166666666667,86.1875,29.716875,94,410,91,4,0,0
2023-01-28,0,77.20833333333333,89.6875,29.705625,76,416,95,5,1,0
2023-01-29,0,75.95833333333333,92.64583333333331,29.7225,85,401,91,6,1,0
2023-01-30,0,76.20833333333333,90.64583333333331,29.759375,81,411,93,0,0,0
2023-01-31,1,77.41666666666667,86.41666666666667,29.743125000000003,90,408,92,1,0,0
2023-02-01,1,79.39583333333333,81.9375,29.720625,91,411,94,2,0,0
2023-02-02,1,79.0625,84.14583333333333,29.715625,88,412,95,3,0,0
2023-02-03,1,77.29166666666667,92.83333333333331,29.718125,74,412,93,4,0,0
2023-02-04,0,81.45833333333333,80.9375,29.696250000000003,91,424,98,5,1,0
2023-02-05,0,80.5625,81.875,29.6925,93,401,92,6,1,0
2023-02-06,0,80.47916666666667,82.83333333333333,29.7225,89,416,95,0,0,0
