datetime,เกิดเหตุ,temperature_F,humidity_%,wind_speed_kmh,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2023-01-01,0,77.88125000000001,80.89416666666666,5.84875,29.805833333333336,96.0,578.0,84.0,6,1,1
2023-01-02,1,79.376875,82.041875,5.5285416666666665,29.720208333333332,96.0,643.0,91.0,0,0,1
2023-01-03,0,76.5725,93.780625,2.3802083333333335,29.832708333333333,90.0,614.0,91.0,1,0,1
2023-01-04,0,82.69708333333334,72.884375,4.244166666666667,29.692291666666666,74.0,510.0,105.0,2,0,0
2023-01-05,0,84.31645833333333,80.26083333333334,3.9160416666666666,29.641041666666666,75.0,452.0,112.0,3,0,0
2023-01-06,0,85.18916666666667,72.899375,6.700833333333333,29.66979166666667,82.0,429.0,105.0,4,0,0
2023-01-07,0,80.76875,82.36541666666666,6.954999999999999,29.712708333333335,86.0,467.0,104.0,5,1,0
2023-01-08,0,80.61687500000001,85.84875,4.774791666666666,29.716875,92.0,432.0,101.0,6,1,0
2023-01-09,0,79.98666666666666,86.68,5.5285416666666665,29.715833333333332,81.0,393.0,106.0,0,0,0
2023-01-10,0,84.95479166666667,71.83708333333333,3.1033333333333335,29.73229166666667,73.0,389.0,113.0,1,0,0
2023-01-11,0,79.33166666666666,91.49020833333333,3.6314583333333332,29.748333333333335,83.0,350.0,106.0,2,0,0
2023-01-12,0,79.92229166666667,92.07937499999998,7.327083333333333,29.720208333333332,83.0,365.0,109.0,3,0,0
2023-01-13,0,80.83875,84.924375,3.2156249999999997,29.750208333333333,82.0,420.0,110.0,4,0,0
2023-01-14,1,80.504375,82.74083333333333,2.719583333333333,29.720625,88.0,525.0,99.0,5,1,1
2023-01-15,0,81.62083333333332,84.69791666666667,3.2229166666666664,29.69604166666667,93.0,405.0,99.0,6,1,0
2023-01-16,0,80.001875,83.6575,5.375208333333333,29.741041666666664,81.0,299.0,104.0,0,0,0
2023-01-17,0,77.19687499999999,81.94291666666668,5.290416666666666,29.770208333333333,82.0,337.0,108.0,1,0,0
2023-01-18,0,78.27354166666667,84.73666666666666,6.537708333333334,29.787291666666665,98.0,368.0,103.0,2,0,0
2023-01-19,0,79.2475,83.03208333333333,6.560625000000001,29.772291666666664,104.0,351.0,101.0,3,0,0
2023-01-20,0,76.50166666666667,93.508125,4.096875,29.754583333333333,93.0,359.0,100.0,4,0,0
2023-01-21,0,78.58854166666667,91.02666666666666,5.0925,29.72645833333333,97.0,386.0,96.0,5,1,0
2023-01-22,0,79.60000000000001,87.78229166666667,7.635833333333333,29.704583333333332,85.0,368.0,103.0,6,1,0
2023-01-23,0,80.37583333333333,85.44333333333333,7.3525,29.688541666666666,80.0,356.0,112.0,0,0,0
2023-01-24,0,80.23854166666666,84.35833333333333,8.015416666666667,29.707291666666666,83.0,344.0,103.0,1,0,0
2023-01-25,0,78.23833333333333,83.78708333333333,6.136041666666666,29.709791666666664,83.0,330.0,95.0,2,0,0
2023-01-26,0,79.59270833333333,80.07312499999999,6.541666666666667,29.72520833333333,87.0,382.0,98.0,3,0,0
2023-01-27,0,78.99979166666667,86.18166666666667,4.6674999999999995,29.715416666666666,87.0,384.0,102.0,4,0,0
2023-01-28,0,77.24979166666667,89.51395833333333,5.024583333333333,29.705624999999998,84.0,451.0,95.0,5,1,0
2023-01-29,0,75.96229166666667,92.70270833333335,5.800833333333333,29.72375,93.0,442.0,94.0,6,1,0
2023-01-30,0,76.18854166666667,90.75875,5.76125,29.758333333333336,92.0,395.0,99.0,0,0,0
2023-01-31,1,77.431875,86.31229166666667,5.943124999999999,29.743125000000003,81.0,369.0,97.0,1,0,0
2023-02-01,1,77.67645833333333,84.72479166666666,5.716875000000001,29.823958333333334,76.0,394.0,103.0,2,0,0
2023-02-02,1,79.03958333333334,84.08979166666667,5.271041666666666,29.715833333333332,78.0,400.0,105.0,3,0,0
2023-02-03,0,80.1725,83.05104166666666,8.098541666666668,29.81041666666667,78.0,419.0,102.0,4,0,0
2023-02-04,0,81.96374999999999,77.04333333333334,2.9975,29.682291666666668,86.0,494.0,92.0,5,1,0
2023-02-05,0,79.87541666666667,91.07041666666667,3.060625,29.684166666666666,88.0,442.0,102.0,6,1,0
2023-02-06,1,85.65166666666666,72.17375,6.46625,29.675208333333334,85.0,365.0,109.0,0,0,0
2023-02-07,0,84.03208333333333,71.75583333333333,5.249791666666667,29.715625,84.0,397.0,102.0,1,0,0
2023-02-08,0,81.95979166666667,83.405625,1.6797916666666666,29.729791666666667,82.0,415.0,99.0,2,0,0
2023-02-09,0,80.10541666666667,86.1275,5.577708333333334,29.68166666666667,87.0,433.0,105.0,3,0,0
2023-02-10,0,83.0,81.13875,2.716458333333333,29.752291666666665,97.0,438.0,100.0,4,0,0
2023-02-11,0,79.00416666666666,90.47416666666668,4.8218749999999995,29.743750000000002,97.0,451.0,93.0,5,1,0
2023-02-12,0,76.84708333333333,96.18854166666667,3.8058333333333336,29.726249999999997,86.0,511.0,93.0,6,1,0
2023-02-13,1,80.05312500000001,80.64166666666667,4.893958333333333,29.74791666666667,92.0,387.0,96.0,0,0,0
2023-02-14,1,79.21020833333334,82.33666666666666,5.3410416666666665,29.734375,88.0,406.0,100.0,1,0,0
2023-02-15,0,79.24020833333334,79.93583333333333,6.848125,29.73875,86.0,450.0,93.0,2,0,0
2023-02-16,0,79.36520833333334,77.73875,9.626041666666667,29.76375,88.0,394.0,92.0,3,0,0
2023-02-17,0,80.99416666666667,78.22,9.395416666666668,29.769166666666667,81.0,360.0,105.0,4,0,0
2023-02-18,1,80.58020833333333,80.78604166666666,7.71,29.761041666666667,87.0,457.0,102.0,5,1,0
2023-02-19,0,79.505,83.03458333333333,5.715833333333333,29.760416666666668,94.0,465.0,94.0,6,1,0
2023-02-20,0,80.381875,80.87354166666667,7.006041666666667,29.743958333333335,96.0,433.0,102.0,0,0,0
2023-02-21,0,80.54125,79.690625,7.963125000000001,29.771874999999998,87.0,345.0,104.0,1,0,0
2023-02-22,0,80.64270833333333,77.49270833333334,8.099791666666667,29.777291666666667,79.0,304.0,104.0,2,0,0
2023-02-23,0,79.62145833333334,79.52875,7.020416666666667,29.76,82.0,330.0,100.0,3,0,0
2023-02-24,0,79.92583333333333,79.26333333333334,6.287708333333334,29.756666666666664,85.0,381.0,102.0,4,0,0
2023-02-25,0,79.92791666666666,80.02291666666666,7.606458333333333,29.801875,92.0,502.0,103.0,5,1,0
2023-02-26,0,79.6425,75.51541666666667,9.777916666666666,29.845208333333332,90.0,456.0,110.0,6,1,0
2023-02-27,0,78.78979166666666,80.99041666666666,6.445208333333333,29.845416666666665,88.0,397.0,100.0,0,0,0
2023-02-28,0,77.910625,86.18229166666667,4.523750000000001,29.832708333333333,85.0,392.0,100.0,1,0,0
2023-03-01,1,79.2025,84.96166666666666,6.291250000000001,29.803749999999997,84.0,381.0,103.0,2,0,0
2023-03-02,1,77.363125,92.71104166666667,4.51,29.717916666666667,87.0,341.0,99.0,3,0,0
2023-03-03,0,81.48708333333333,77.471875,8.432916666666666,29.848958333333332,88.0,336.0,94.0,4,0,0
2023-03-04,1,81.60645833333334,80.064375,3.5085416666666664,29.688333333333333,90.0,354.0,90.0,5,1,0
2023-03-05,1,82.78791666666667,83.50020833333333,4.8689583333333335,29.701875,90.0,423.0,93.0,6,1,0
2023-03-06,1,84.35000000000001,76.00937499999999,5.152916666666667,29.698125,97.0,541.0,88.0,0,0,1
2023-03-07,0,84.15729166666667,75.46958333333333,2.552916666666667,29.713125,91.0,517.0,96.0,1,0,0
2023-03-08,0,83.53854166666666,79.17270833333333,4.523333333333333,29.74020833333333,87.0,493.0,99.0,2,0,0
2023-03-09,0,80.77875,85.54729166666668,4.5,29.648750000000003,84.0,423.0,102.0,3,0,0
2023-03-10,0,83.89458333333333,75.89208333333333,4.200625,29.756041666666665,92.0,415.0,102.0,4,0,0
2023-03-11,0,81.14416666666666,85.67666666666666,3.3093749999999997,29.698958333333334,101.0,374.0,90.0,5,1,0
2023-03-12,0,79.751875,90.38041666666668,5.146041666666666,29.726249999999997,102.0,396.0,89.0,6,1,0
2023-03-13,0,80.505625,73.285625,8.854583333333332,29.75583333333333,97.0,396.0,101.0,0,0,0
2023-03-14,0,78.95041666666667,74.57416666666667,7.8675,29.72,79.0,319.0,106.0,1,0,0
2023-03-15,0,79.406875,73.63895833333333,6.732916666666667,29.754166666666666,70.0,343.0,103.0,2,0,0
2023-03-16,0,80.136875,75.56458333333333,9.036875,29.755416666666665,81.0,342.0,102.0,3,0,0
2023-03-17,0,80.86,77.19354166666666,7.800833333333333,29.754583333333333,94.0,375.0,94.0,4,0,0
2023-03-18,0,81.48708333333333,76.78958333333334,7.45625,29.726875000000003,90.0,437.0,92.0,5,1,0
2023-03-19,0,82.32791666666667,76.80479166666667,6.869375000000001,29.703125,90.0,437.0,95.0,6,1,0
2023-03-20,0,82.90208333333334,78.88083333333334,6.7441666666666675,29.69458333333333,90.0,467.0,102.0,0,0,0
2023-03-21,0,80.98104166666667,81.59083333333334,3.7725000000000004,29.699166666666667,92.0,394.0,107.0,1,0,0
2023-03-22,1,83.15354166666667,79.74062500000001,4.380625,29.658541666666665,80.0,346.0,98.0,2,0,0
2023-03-23,0,82.54104166666666,81.4375,3.1664583333333334,29.671666666666667,76.0,337.0,95.0,3,0,0
2023-03-24,0,82.99770833333334,78.39229166666667,3.640625,29.67979166666667,79.0,378.0,97.0,4,0,0
2023-03-25,0,81.94125,75.31666666666666,4.342708333333333,29.699166666666667,99.0,491.0,100.0,5,1,0
2023-03-26,1,81.6975,76.12666666666667,3.845625,29.676666666666666,102.0,515.0,96.0,6,1,0
2023-03-27,0,82.218125,76.44916666666667,5.167083333333333,29.675833333333333,82.0,406.0,110.0,0,0,0
2023-03-28,0,82.95875,79.36520833333334,5.115833333333334,29.706666666666667,80.0,389.0,107.0,1,0,0
2023-03-29,0,82.80125,76.27312500000001,5.63,29.726875000000003,81.0,363.0,97.0,2,0,0
2023-03-30,0,81.87854166666666,75.66458333333334,3.928125,29.704375,80.0,358.0,98.0,3,0,0
2023-03-31,0,81.66833333333334,74.74791666666667,4.886666666666667,29.69604166666667,85.0,388.0,101.0,4,0,0
2023-04-01,0,76.99875,92.80520833333333,4.536458333333333,29.797708333333333,92.0,497.0,101.0,5,1,0
2023-04-02,0,81.37479166666667,81.12125,8.895625,29.696250000000003,101.0,484.0,103.0,6,1,0
2023-04-03,0,79.46979166666667,79.17354166666667,7.517708333333334,29.865,93.0,401.0,101.0,0,0,0
2023-04-04,0,81.68729166666667,79.75020833333333,3.700416666666667,29.6675,80.0,478.0,102.0,1,0,0
2023-04-05,0,82.52041666666666,83.61395833333333,2.4829166666666667,29.668333333333333,86.0,436.0,99.0,2,0,0
2023-04-06,0,84.59291666666667,71.974375,6.03,29.688125,98.0,493.0,93.0,3,0,1
2023-04-07,0,84.506875,77.67270833333333,3.576041666666667,29.694374999999997,109.0,464.0,102.0,4,0,0
2023-04-08,0,82.748125,82.581875,3.9545833333333333,29.778125,97.0,501.0,99.0,5,1,0
2023-04-09,1,79.06145833333333,89.98979166666668,4.1379166666666665,29.639166666666668,91.0,613.0,93.0,6,1,0
2023-04-10,0,81.92604166666666,84.640625,1.4372916666666666,29.741666666666664,82.0,517.0,99.0,0,0,0
2023-04-11,0,80.23916666666666,88.04145833333332,2.15,29.700833333333335,86.0,501.0,109.0,1,0,0
2023-04-12,0,81.53958333333334,87.20291666666667,5.744583333333334,29.722083333333334,98.0,571.0,101.0,2,0,0
2023-04-13,1,83.34020833333334,82.31791666666666,2.0864583333333333,29.684166666666666,96.0,634.0,89.0,3,0,1
2023-04-14,0,84.32395833333334,80.65083333333332,2.450625,29.673541666666665,94.0,583.0,87.0,4,0,1
2023-04-15,0,85.49145833333334,77.29375,4.143958333333333,29.658958333333334,94.0,482.0,88.0,5,1,1
2023-04-16,1,81.56645833333333,84.29708333333333,2.794583333333333,29.669166666666666,104.0,436.0,86.0,6,1,0
2023-04-17,1,83.90583333333333,77.24645833333334,2.026875,29.689375,102.0,534.0,85.0,0,0,1
2023-04-18,1,82.80125,82.18104166666667,1.9977083333333334,29.702083333333334,83.0,507.0,94.0,1,0,0
2023-04-19,0,82.66083333333333,82.99354166666667,2.410833333333333,29.638333333333335,78.0,453.0,100.0,2,0,0
2023-04-20,0,84.15416666666667,77.46270833333334,4.890625,29.60375,89.0,409.0,102.0,3,0,0
2023-04-21,0,85.7725,78.51375,3.650625,29.60354166666667,92.0,407.0,102.0,4,0,0
2023-04-22,0,80.40166666666667,88.34729166666666,2.459375,29.618750000000002,96.0,423.0,98.0,5,1,0
2023-04-23,0,79.27479166666667,89.1875,2.4899999999999998,29.656041666666667,86.0,435.0,99.0,6,1,0
2023-04-24,0,83.11125,80.719375,3.9152083333333336,29.687708333333333,76.0,388.0,105.0,0,0,0
2023-04-25,0,84.40520833333333,78.37125,5.2022916666666665,29.65833333333333,79.0,377.0,98.0,1,0,0
2023-04-26,0,84.30291666666666,78.47729166666666,5.39375,29.647291666666664,86.0,356.0,97.0,2,0,0
2023-04-27,0,84.42395833333333,76.99291666666666,6.006041666666667,29.668125,88.0,385.0,102.0,3,0,0
