datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2024-01-01,0,81.22937499999999,83.1775,29.756666666666664,103.0,457.0,83.0,0,0,1
2024-01-02,0,80.89020833333333,81.01333333333334,29.838541666666668,96.0,459.0,95.0,1,0,0
2024-01-03,0,83.155,77.23604166666667,29.748333333333335,86.0,429.0,97.0,2,0,0
2024-01-04,0,84.62145833333334,78.575625,29.71625,77.0,425.0,100.0,3,0,0
2024-01-05,1,86.38791666666667,76.53166666666667,29.586875000000003,77.0,479.0,108.0,4,0,0
2024-01-06,1,82.68395833333334,87.01895833333333,29.720208333333332,89.0,545.0,102.0,5,1,0
2024-01-07,0,82.79166666666667,82.14104166666667,29.70125,87.0,464.0,105.0,6,1,0
2024-01-08,0,82.81041666666667,82.375625,29.73125,83.0,373.0,109.0,0,0,0
2024-01-09,0,83.52895833333334,76.9175,29.667916666666667,94.0,363.0,105.0,1,0,0
2024-01-10,0,82.310625,79.765625,29.670833333333334,95.0,390.0,104.0,2,0,0
2024-01-11,0,83.08375,77.12270833333334,29.71666666666667,97.0,377.0,108.0,3,0,0
2024-01-12,0,79.71645833333334,86.23562500000001,29.667708333333334,92.0,413.0,106.0,4,0,0
2024-01-13,0,80.31,81.90541666666667,29.75583333333333,98.0,558.0,90.0,5,1,1
2024-01-14,0,79.75791666666667,80.40375,29.772499999999997,114.0,591.0,94.0,6,1,0
2024-01-15,0,81.15479166666667,80.46020833333334,29.755,109.0,469.0,104.0,0,0,0
2024-01-16,1,82.24208333333333,82.10104166666666,29.750833333333333,91.0,377.0,97.0,1,0,0
2024-01-17,0,82.59645833333333,76.84083333333334,29.74416666666667,80.0,329.0,96.0,2,0,0
2024-01-18,0,80.814375,81.69020833333333,29.756249999999998,77.0,379.0,109.0,3,0,0
2024-01-19,0,81.52104166666668,81.23729166666666,29.753333333333334,85.0,406.0,105.0,4,0,0
2024-01-20,1,80.79395833333334,81.07083333333334,29.76375,87.0,446.0,102.0,5,1,0
2024-01-21,0,80.34229166666667,83.464375,29.785833333333333,89.0,470.0,95.0,6,1,0
