date,time,temperature_F,humidity_%,pressure_in,condition,เกิดเหตุ,รถน้อยกว่า4ล้อacc,รถ4ล้อacc,รถมากกว่า4ล้อacc,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday,is_special,is_eve_or_return
01/01/2020,12:00 AM,77.33,83.17,29.83,Clear,0,0,0,0,1.0,4.0,2.0,2,0,1,0,0
01/01/2020,12:30 AM,77.29,83.14,29.82,Clear,0,0,0,0,0.0,3.0,2.0,2,0,1,0,0
01/01/2020,01:00 AM,77.0,83.88,29.82,Clear,0,0,0,0,1.0,4.0,2.0,2,0,1,0,0
01/01/2020,01:30 AM,76.56,85.0,29.82,Clear,0,0,0,0,1.0,4.0,2.0,2,0,1,0,0
01/01/2020,02:00 AM,76.2,85.9,29.81,Clear,0,0,0,0,0.0,3.0,2.0,2,0,1,0,0
01/01/2020,02:30 AM,75.91,86.64,29.81,Clear,0,0,0,0,1.0,5.0,3.0,2,0,1,0,0
01/01/2020,03:00 AM,75.55,87.09,29.81,Clear,0,0,0,0,0.0,4.0,2.0,2,0,1,0,0
01/01/2020,03:30 AM,75.18,88.09,29.8,Clear,0,0,0,0,1.0,5.0,2.0,2,0,1,0,0
01/01/2020,04:00 AM,74.82,89.09,29.8,Clear,0,0,0,0,0.0,3.0,2.0,2,0,1,0,0
01/01/2020,04:30 AM,74.45,90.09,29.8,Clear,0,0,0,0,1.0,4.0,2.0,2,0,1,0,0
01/01/2020,05:00 AM,74.27,91.09,29.8,Clear,0,0,0,0,3.0,15.0,1.0,2,0,1,0,0
01/01/2020,05:30 AM,74.45,91.64,29.8,Clear,0,0,0,0,2.0,19.0,1.0,2,0,1,0,0
01/01/2020,06:00 AM,74.82,91.73,29.81,Clear,0,0,0,0,3.0,14.0,1.0,2,0,1,0,0
01/01/2020,06:30 AM,75.45,90.82,29.81,Clear,0,0,0,0,4.0,19.0,2.0,2,0,1,0,0
01/01/2020,07:00 AM,76.45,88.64,29.82,Clear,0,0,0,0,3.0,27.0,2.0,2,0,1,0,0
01/01/2020,07:30 AM,77.82,85.73,29.82,Clear,0,0,0,0,3.0,15.0,1.0,2,0,1,0,0
01/01/2020,08:00 AM,79.0,83.18,29.83,Clear,0,0,0,0,3.0,19.0,2.0,2,0,1,0,0
01/01/2020,08:30 AM,80.36,79.91,29.83,Clear,0,0,0,0,3.0,19.0,2.0,2,0,1,0,0
01/01/2020,09:00 AM,81.55,77.45,29.84,Clear,0,0,0,0,3.0,11.0,1.0,2,0,1,0,0
01/01/2020,09:30 AM,83.09,73.91,29.84,Clear,0,0,0,0,2.0,10.0,2.0,2,0,1,0,0
01/01/2020,10:00 AM,84.64,70.36,29.84,Clear,0,0,0,0,2.0,10.0,2.0,2,0,1,0,0
01/01/2020,10:30 AM,86.0,66.82,29.83,Clear,0,0,0,0,2.0,6.0,1.0,2,0,1,0,0
01/01/2020,11:00 AM,87.0,63.73,29.83,Clear,0,0,0,0,3.0,8.0,2.0,2,0,1,0,0
01/01/2020,11:30 AM,87.64,61.36,29.83,Clear,0,0,0,0,2.0,6.0,2.0,2,0,1,0,0
01/01/2020,12:00 PM,88.18,59.82,29.82,Clear,0,0,0,0,2.0,7.0,2.0,2,0,1,0,0
01/01/2020,12:30 PM,88.73,58.45,29.81,Clear,0,0,0,0,2.0,11.0,2.0,2,0,1,0,0
01/01/2020,01:00 PM,88.73,58.09,29.8,Clear,0,0,0,0,3.0,8.0,2.0,2,0,1,0,0
01/01/2020,01:30 PM,88.91,57.09,29.79,Clear,0,0,0,0,2.0,7.0,2.0,2,0,1,0,0
01/01/2020,02:00 PM,88.73,57.09,29.78,Clear,0,0,0,0,2.0,8.0,2.0,2,0,1,0,0
01/01/2020,02:30 PM,88.55,56.73,29.78,Clear,0,0,0,0,2.0,11.0,1.0,2,0,1,0,0
01/01/2020,03:00 PM,88.0,57.36,29.78,Clear,0,0,0,0,2.0,7.0,2.0,2,0,1,0,0
01/01/2020,03:30 PM,87.8,57.6,29.77,Clear,0,0,0,0,2.0,8.0,1.0,2,0,1,0,0
01/01/2020,04:00 PM,87.0,59.1,29.77,Clear,0,0,0,0,5.0,15.0,2.0,2,0,1,0,0
01/01/2020,04:30 PM,86.1,60.6,29.78,Clear,0,0,0,0,3.0,15.0,2.0,2,0,1,0,0
01/01/2020,05:00 PM,85.4,61.8,29.78,Clear,0,0,0,0,4.0,20.0,2.0,2,0,1,0,0
01/01/2020,05:30 PM,84.7,62.6,29.79,Clear,0,0,0,0,5.0,23.0,2.0,2,0,1,0,0
01/01/2020,06:00 PM,83.6,64.9,29.8,Clear,0,0,0,0,4.0,16.0,2.0,2,0,1,0,0
01/01/2020,06:30 PM,82.7,66.5,29.81,Clear,0,0,0,0,4.0,24.0,2.0,2,0,1,0,0
01/01/2020,07:00 PM,81.8,68.4,29.82,Clear,0,0,0,0,2.0,15.0,2.0,2,0,1,0,0
01/01/2020,07:30 PM,80.9,70.9,29.83,Clear,0,0,0,0,4.0,25.0,1.0,2,0,1,0,0
01/01/2020,08:00 PM,79.8,74.0,29.85,Clear,0,0,0,0,2.0,11.0,1.0,2,0,1,0,0
01/01/2020,08:30 PM,78.9,76.7,29.86,Clear,0,0,0,0,2.0,14.0,2.0,2,0,1,0,0
01/01/2020,09:00 PM,78.55,77.82,29.86,Clear,0,0,0,0,2.0,8.0,2.0,2,0,1,0,0
01/01/2020,09:30 PM,77.91,79.55,29.87,Clear,0,0,0,0,1.0,12.0,2.0,2,0,1,0,0
01/01/2020,10:00 PM,77.36,81.27,29.87,Clear,0,0,0,0,2.0,12.0,2.0,2,0,1,0,0
01/01/2020,10:30 PM,76.82,83.0,29.88,Clear,0,0,0,0,3.0,8.0,1.0,2,0,1,0,0
01/01/2020,11:00 PM,76.27,84.73,29.88,Clear,0,0,0,0,2.0,8.0,1.0,2,0,1,0,0
01/01/2020,11:30 PM,75.91,86.18,29.87,Clear,0,0,0,0,2.0,10.0,1.0,2,0,1,0,0
02/01/2020,12:00 AM,75.36,88.0,29.87,Clear,0,0,0,0,0.0,5.0,3.0,5,1,0,0,0
02/01/2020,12:30 AM,75.0,89.82,29.86,Clear,0,0,0,0,0.0,3.0,2.0,5,1,0,0,0
02/01/2020,01:00 AM,74.82,90.36,29.86,Clear,0,0,0,0,1.0,3.0,3.0,5,1,0,0,0
02/01/2020,01:30 AM,74.64,90.82,29.85,Clear,0,0,0,0,0.0,4.0,1.0,5,1,0,0,0
02/01/2020,02:00 AM,74.64,91.27,29.85,Clear,0,0,0,0,0.0,4.0,3.0,5,1,0,0,0
02/01/2020,02:30 AM,74.64,91.73,29.84,Clear,0,0,0,0,1.0,3.0,3.0,5,1,0,0,0
02/01/2020,03:00 AM,74.45,92.18,29.84,Clear,0,0,0,0,1.0,5.0,3.0,5,1,0,0,0
02/01/2020,03:30 AM,74.45,92.64,29.83,Clear,0,0,0,0,1.0,5.0,2.0,5,1,0,0,0
02/01/2020,04:00 AM,74.45,93.09,29.83,Clear,0,0,0,0,1.0,4.0,3.0,5,1,0,0,0
02/01/2020,04:30 AM,74.45,93.55,29.83,Clear,0,0,0,0,0.0,2.0,2.0,5,1,0,0,0
02/01/2020,05:00 AM,74.64,93.55,29.83,Clear,0,0,0,0,3.0,15.0,2.0,5,1,0,0,0
02/01/2020,05:30 AM,75.18,92.55,29.83,Clear,0,0,0,0,3.0,15.0,2.0,5,1,0,0,0
02/01/2020,06:00 AM,75.82,90.73,29.84,Clear,0,0,0,0,3.0,14.0,2.0,5,1,0,0,0
02/01/2020,06:30 AM,76.64,89.0,29.84,Clear,0,0,0,0,2.0,15.0,2.0,5,1,0,0,0
02/01/2020,07:00 AM,77.64,86.82,29.85,Clear,0,0,0,0,3.0,17.0,2.0,5,1,0,0,0
02/01/2020,07:30 AM,78.82,83.91,29.86,Clear,0,0,0,0,4.0,11.0,2.0,5,1,0,0,0
02/01/2020,08:00 AM,80.0,81.0,29.86,Clear,0,0,0,0,3.0,23.0,2.0,5,1,0,0,0
02/01/2020,08:30 AM,81.18,78.45,29.87,Clear,0,0,0,0,3.0,20.0,2.0,5,1,0,0,0
02/01/2020,09:00 AM,82.36,75.55,29.87,Clear,0,0,0,0,3.0,7.0,1.0,5,1,0,0,0
02/01/2020,09:30 AM,83.1,73.7,29.87,Clear,0,0,0,0,2.0,8.0,2.0,5,1,0,0,0
02/01/2020,10:00 AM,84.4,70.1,29.87,Clear,0,0,0,0,2.0,9.0,2.0,5,1,0,0,0
02/01/2020,10:30 AM,85.7,66.6,29.87,Clear,0,0,0,0,2.0,8.0,2.0,5,1,0,0,0
02/01/2020,11:00 AM,86.8,64.2,29.86,Clear,0,0,0,0,2.0,7.0,1.0,5,1,0,0,0
02/01/2020,11:30 AM,87.6,62.7,29.85,Clear,0,0,0,0,2.0,4.0,1.0,5,1,0,0,0
02/01/2020,12:00 PM,88.0,61.9,29.84,Clear,0,0,0,0,2.0,7.0,2.0,5,1,0,0,0
02/01/2020,12:30 PM,88.4,60.7,29.83,Clear,0,0,0,0,2.0,7.0,2.0,5,1,0,0,0
02/01/2020,01:00 PM,88.4,60.7,29.81,Clear,0,0,0,0,2.0,9.0,2.0,5,1,0,0,0
02/01/2020,01:30 PM,88.2,60.7,29.8,Clear,0,0,0,0,2.0,9.0,2.0,5,1,0,0,0
02/01/2020,02:00 PM,88.2,60.7,29.79,Clear,0,0,0,0,2.0,6.0,2.0,5,1,0,0,0
02/01/2020,02:30 PM,87.8,61.1,29.78,Clear,0,0,0,0,2.0,8.0,2.0,5,1,0,0,0
02/01/2020,03:00 PM,87.45,61.91,29.78,Clear,0,0,0,0,2.0,7.0,1.0,5,1,0,0,0
02/01/2020,03:30 PM,86.91,63.36,29.78,Clear,0,0,0,0,2.0,8.0,2.0,5,1,0,0,0
02/01/2020,04:00 PM,86.09,65.18,29.78,Clear,0,0,0,0,2.0,16.0,3.0,5,1,0,0,0
02/01/2020,04:30 PM,85.27,67.0,29.78,Clear,0,0,0,0,3.0,16.0,2.0,5,1,0,0,0
02/01/2020,05:00 PM,84.45,69.27,29.78,Clear,0,0,0,0,3.0,19.0,3.0,5,1,0,0,0
02/01/2020,05:30 PM,83.82,71.27,29.79,Clear,0,0,0,0,4.0,18.0,2.0,5,1,0,0,0
02/01/2020,06:00 PM,83.18,73.64,29.8,Clear,0,0,0,0,2.0,20.0,2.0,5,1,0,0,0
02/01/2020,06:30 PM,82.36,76.09,29.8,Clear,0,0,0,0,3.0,14.0,2.0,5,1,0,0,0
02/01/2020,07:00 PM,81.73,78.55,29.81,Clear,0,0,0,0,2.0,21.0,1.0,5,1,0,0,0
02/01/2020,07:30 PM,81.27,80.18,29.82,Clear,1,0,0,0,2.0,17.0,3.0,5,1,0,0,0
02/01/2020,08:00 PM,81.0,81.82,29.83,Clear,0,0,0,0,2.0,8.0,2.0,5,1,0,0,0
02/01/2020,08:30 PM,80.73,82.64,29.84,Rain,0,0,0,0,1.0,7.0,2.0,5,1,0,0,0
02/01/2020,09:00 PM,80.45,84.0,29.84,Clear,0,0,0,0,2.0,8.0,2.0,5,1,0,0,0
