ทางหลวงสาย,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,source_file
,6519,21741,6592,car-count63.csv
,8638,24060,3545,car-count63.csv
,2931,29162,9363,car-count63.csv
,4122,30715,4377,car-count63.csv
,9074,26179,2849,car-count63.csv
,4603,14861,2479,car-count63.csv
,3457,8773,1789,car-count63.csv
all,39344,155491,30994,car-count63.csv
,5666,18678,4009,car-count64.csv
,4771,21416,5564,car-count64.csv
,1810,24255,8405,car-count64.csv
,4740,26002,4705,car-count64.csv
,5856,24535,2703,car-count64.csv
,3925,11535,2469,car-count64.csv
,2410,5778,1911,car-count64.csv
all,29178,132199,29766,car-count64.csv
,7831,25855,2564,car-count65.csv
,3871,21357,6123,car-count65.csv
,3539,26129,4890,car-count65.csv
,3975,21429,7741,car-count65.csv
,1577,22537,5995,car-count65.csv
,3909,11197,2385,car-count65.csv
,3242,7493,2342,car-count65.csv
all,27944,135997,32040,car-count65.csv
,9604,26234,2814,car-count66.csv
,5509,27349,3537,car-count66.csv
,4371,22161,8063,car-count66.csv
,4491,23870,9992,car-count66.csv
,1303,27089,4332,car-count66.csv
,3702,13312,2629,car-count66.csv
,2658,8859,2407,car-count66.csv
all,31638,148874,33774,car-count66.csv
,4979,25022,9930,car-count67.csv
,4489,21199,9541,car-count67.csv
,1309,30820,4934,car-count67.csv
,5771,28231,3990,car-count67.csv
,9169,27389,2615,car-count67.csv
,3564,13401,2646,car-count67.csv
,3088,8877,2857,car-count67.csv
all,32369,154939,36513,car-count67.csv
