ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ
2022,01/03/2022,01:00 PM,4,สงขลา,6.624175758,100.4215085,1,1,0,0,1
2022,01/06/2022,10:00 AM,4,สงขลา,6.670559089,100.4353434,2,0,0,2,1
2022,01/11/2022,11:30 AM,4,สงขลา,6.792738483,100.4531801,2,1,1,0,1
2022,01/12/2022,11:00 AM,4,สงขลา,6.67706466,100.4373792,1,0,1,0,1
2022,26/01/2022,06:30 PM,4,สงขลา,6.575984161,100.4105705,1,0,1,0,1
2022,02/03/2022,01:00 PM,4,สงขลา,6.734633321,100.4502243,1,0,1,0,1
2022,02/07/2022,01:30 AM,4,สงขลา,6.957983324,100.4742032,1,0,1,0,1
2022,02/10/2022,06:30 PM,4,สงขลา,6.807703789,100.4548645,2,1,1,0,1
2022,02/12/2022,07:30 PM,4,สงขลา,6.927851353,100.4682782,1,0,1,0,1
2022,15/02/2022,08:30 PM,4,สงขลา,6.836847376,100.4659581,1,0,1,0,1
2022,20/02/2022,10:00 PM,4,สงขลา,6.868665467,100.4703113,2,0,2,0,1
2022,25/02/2022,03:00 PM,4,สงขลา,6.760736894,100.4592928,1,0,0,1,1
2022,26/02/2022,01:00 AM,4,สงขลา,6.849864609,100.4703784,1,0,1,0,1
2022,03/03/2022,06:00 PM,4,สงขลา,6.609527202,100.4191026,2,0,2,0,1
2022,03/06/2022,06:00 PM,4,สงขลา,6.666701527,100.4340693,1,0,0,1,1
2022,03/08/2022,11:00 AM,4,สงขลา,6.98118871,100.4595718,1,0,1,0,1
2022,03/12/2022,12:30 AM,4,สงขลา,6.984447383,100.449889,2,0,2,0,1
2022,26/03/2022,02:30 AM,4,สงขลา,6.747224475,100.4515681,1,0,1,0,1
2022,04/03/2022,03:30 PM,4,สงขลา,6.796581726,100.4532578,2,0,2,0,1
2022,17/04/2022,05:00 AM,4,สงขลา,6.720699298,100.4471853,1,0,1,0,1
2022,21/04/2022,02:30 PM,4,สงขลา,6.642303343,100.4256096,1,0,1,0,1
2022,24/04/2022,12:30 PM,4,สงขลา,6.732819337,100.4498997,2,0,0,2,1
2022,05/08/2022,04:00 PM,4,สงขลา,6.844868675,100.4698688,1,0,1,0,1
2022,05/09/2022,07:30 AM,4,สงขลา,6.866806718,100.4703033,1,0,0,1,1
2022,05/09/2022,07:30 AM,4,สงขลา,6.866851989,100.4703194,1,1,0,0,1
2022,05/12/2022,12:00 AM,4,สงขลา,6.861800311,100.4704696,1,1,0,0,1
2022,05/12/2022,05:30 PM,4,สงขลา,6.818170437,100.4581851,2,0,2,0,1
2022,20/05/2022,07:30 PM,4,สงขลา,6.794333845,100.4531881,2,0,2,0,1
2022,25/05/2022,04:30 PM,4,สงขลา,6.73163132,100.4497924,1,0,1,0,1
2022,31/05/2022,10:30 AM,4,สงขลา,6.579248239,100.411402,1,0,0,1,1
2022,06/12/2022,06:00 AM,4,สงขลา,6.797583149,100.453231,1,0,1,0,1
2022,22/06/2022,05:00 AM,4,สงขลา,6.80088037,100.4533517,1,0,1,0,1
2022,29/06/2022,07:30 PM,4,สงขลา,6.99579665,100.4175845,1,0,1,0,1
2022,30/06/2022,02:30 PM,4,สงขลา,6.979543391,100.4644561,1,0,1,0,1
2022,07/01/2022,06:00 AM,4,สงขลา,6.813672203,100.4566911,1,0,1,0,1
2022,07/12/2022,06:30 PM,4,สงขลา,6.581401186,100.4119143,2,0,1,1,1
2022,08/02/2022,11:30 AM,4,สงขลา,6.617248521,100.4204061,2,0,2,0,1
2022,08/06/2022,05:00 AM,4,สงขลา,6.833395939,100.4643139,1,0,1,0,1
2022,08/09/2022,02:30 AM,4,สงขลา,6.849837978,100.4703596,1,0,1,0,1
2022,09/01/2022,04:00 AM,4,สงขลา,6.542262982,100.4157364,1,0,1,0,1
2022,09/09/2022,04:00 PM,4,สงขลา,6.810260549,100.4556423,2,0,2,0,1
2022,09/11/2022,09:00 PM,4,สงขลา,6.75539643,100.4556611,2,1,1,0,1
2022,24/09/2022,12:30 AM,4,สงขลา,6.545711147,100.4151973,2,0,1,1,1
2022,25/09/2022,11:00 AM,4,สงขลา,6.751105372,100.4523593,1,0,0,1,1
2022,27/09/2022,12:00 PM,4,สงขลา,6.75956759,100.4586276,1,0,1,0,1
2022,27/09/2022,03:00 PM,4,สงขลา,6.834549084,100.4648611,3,1,1,1,1
2022,10/05/2022,07:00 PM,4,สงขลา,6.807661176,100.4548994,2,0,1,1,1
2022,10/11/2022,09:30 PM,4,สงขลา,6.983233371,100.453687,3,0,3,0,1
2022,19/10/2022,11:00 AM,4,สงขลา,6.766785796,100.4586357,1,0,0,1,1
2022,24/10/2022,11:00 PM,4,สงขลา,6.976723973,100.4739122,1,0,1,0,1
2022,25/10/2022,09:30 AM,4,สงขลา,6.677032692,100.4373255,1,0,1,0,1
2022,31/10/2022,02:00 PM,4,สงขลา,6.589503967,100.4141566,2,0,1,1,1
2022,11/03/2022,07:00 PM,4,สงขลา,6.790783558,100.4530446,2,0,2,0,1
2022,11/05/2022,08:30 PM,4,สงขลา,7.004146693,100.4150082,1,0,1,0,1
2022,11/07/2022,05:30 PM,4,สงขลา,6.823370386,100.4596817,1,0,1,0,1
2022,11/10/2022,07:00 PM,4,สงขลา,6.558857392,100.4128236,2,0,2,0,1
2022,16/11/2022,12:30 PM,4,สงขลา,6.593711179,100.4152456,2,0,2,0,1
2022,14/12/2022,12:00 AM,4,สงขลา,6.796327376,100.4532512,2,0,2,0,1
2022,25/12/2022,04:30 AM,4,สงขลา,6.601974955,100.4173525,1,0,1,0,1
2022,31/12/2022,08:30 PM,4,สงขลา,6.985322739,100.443632,2,0,2,0,1
