ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,รหัสสายทาง,จังหวัด,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,น้อยกว่ารถ4ล้อ,รถ4ล้อ,มากกว่ารถ4ล้อ,เกิดเหตุ,datetime,date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,year,year_ad,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,vehicles_total
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,6519,21741,6592,34852
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,8638,24060,3545,36243
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,2931,29162,9363,41456
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,4122,30715,4377,39214
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,9074,26179,2849,38102
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,4603,14861,2479,21943
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,3457,8773,1789,14019
2020,23/01/2020,02:30 PM,4,สงขลา,6.79190218,100.453172,2,1,0,1,1,2020-01-23 14:30:00,1/23/2020,2:30 PM,93.0,52.0,16.0,29.7,Fair,2020.0,2020,39344,155491,30994,225829
2020,25/01/2020,02:00 AM,4,สงขลา,6.746294867,100.4514688,1,0,0,1,1,2020-01-25 02:00:00,1/25/2020,2:00 AM,70.0,100.0,3.0,29.73,Fair,2020.0,2020,6519,21741,6592,34852
2020,25/01/2020,02:00 AM,4,สงขลา,6.746294867,100.4514688,1,0,0,1,1,2020-01-25 02:00:00,1/25/2020,2:00 AM,70.0,100.0,3.0,29.73,Fair,2020.0,2020,8638,24060,3545,36243
