date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition
01/01/2022,12:00 AM,79.00,83.00,5.17,29.80,Clear
01/01/2022,12:30 AM,79.00,83.00,5.14,29.80,Clear
01/01/2022,01:00 AM,78.75,83.75,5.50,29.80,Clear
01/01/2022,01:30 AM,78.33,84.89,5.22,29.79,Clear
01/01/2022,02:00 AM,78.00,85.30,5.20,29.79,Clear
01/01/2022,02:30 AM,77.55,86.09,4.91,29.79,Clear
01/01/2022,03:00 AM,77.00,87.09,5.27,29.78,Rain
01/01/2022,03:30 AM,76.45,88.64,5.55,29.78,Rain
01/01/2022,04:00 AM,75.91,90.18,5.91,29.78,Clear
01/01/2022,04:30 AM,75.36,91.73,5.64,29.78,Clear
01/01/2022,05:00 AM,74.82,93.27,5.45,29.78,Clear
01/01/2022,05:30 AM,74.45,94.27,5.55,29.78,Rain
01/01/2022,06:00 AM,74.09,95.82,5.55,29.79,Rain
01/01/2022,06:30 AM,74.09,96.27,5.27,29.79,Rain
01/01/2022,07:00 AM,74.09,96.82,5.64,29.80,Rain
01/01/2022,07:30 AM,74.09,97.82,6.27,29.81,Rain
01/01/2022,08:00 AM,74.27,98.36,7.00,29.81,Clear
01/01/2022,08:30 AM,74.64,98.36,6.82,29.82,Clear
01/01/2022,09:00 AM,74.82,98.36,6.36,29.82,Rain
01/01/2022,09:30 AM,75.00,98.36,5.73,29.82,Rain
01/01/2022,10:00 AM,75.36,98.36,5.45,29.83,Rain
01/01/2022,10:30 AM,75.91,97.82,5.45,29.82,Rain
01/01/2022,11:00 AM,76.27,97.36,5.36,29.82,Rain
01/01/2022,11:30 AM,76.45,96.82,6.00,29.82,Rain
01/01/2022,12:00 PM,76.64,96.82,6.00,29.81,Rain
01/01/2022,12:30 PM,77.18,95.36,6.18,29.80,Clear
01/01/2022,01:00 PM,77.36,94.82,6.27,29.79,Clear
01/01/2022,01:30 PM,77.91,93.36,6.18,29.78,Clear
01/01/2022,02:00 PM,78.27,92.45,7.27,29.77,Rain
01/01/2022,02:30 PM,78.82,91.00,7.91,29.76,Rain
01/01/2022,03:00 PM,79.36,89.09,8.73,29.76,Clear
01/01/2022,03:30 PM,79.73,87.18,9.36,29.75,Rain
01/01/2022,04:00 PM,79.55,87.18,9.45,29.75,Clear
01/01/2022,04:30 PM,79.55,87.64,9.45,29.75,Clear
01/01/2022,05:00 PM,79.73,87.18,8.82,29.75,Clear
01/01/2022,05:30 PM,79.55,87.18,9.27,29.76,Clear
01/01/2022,06:00 PM,79.18,88.09,9.09,29.76,Clear
01/01/2022,06:30 PM,79.18,88.64,8.36,29.77,Clear
01/01/2022,07:00 PM,78.82,90.09,7.82,29.78,Clear
01/01/2022,07:30 PM,78.45,91.00,6.45,29.79,Clear
01/01/2022,08:00 PM,77.91,92.45,5.55,29.79,Rain
01/01/2022,08:30 PM,77.55,93.82,5.18,29.80,Clear
01/01/2022,09:00 PM,77.18,95.18,4.82,29.80,Clear
01/01/2022,09:30 PM,77.18,95.18,4.55,29.81,Clear
01/01/2022,10:00 PM,77.18,94.18,4.36,29.81,Clear
01/01/2022,10:30 PM,77.18,93.64,4.18,29.81,Clear
01/01/2022,11:00 PM,77.36,92.64,4.09,29.81,Clear
01/01/2022,11:30 PM,77.55,91.64,4.36,29.80,Clear
02/01/2022,12:00 AM,77.73,89.64,4.82,29.80,Clear
02/01/2022,12:30 AM,77.91,87.64,5.27,29.80,Clear
02/01/2022,01:00 AM,78.09,86.18,5.82,29.79,Clear
02/01/2022,01:30 AM,78.45,84.18,6.64,29.79,Clear
02/01/2022,02:00 AM,78.45,83.18,6.73,29.78,Clear
02/01/2022,02:30 AM,78.45,82.18,6.55,29.78,Clear
02/01/2022,03:00 AM,78.45,81.73,6.82,29.78,Clear
02/01/2022,03:30 AM,78.09,83.27,7.64,29.77,Clear
02/01/2022,04:00 AM,77.73,84.82,7.82,29.77,Clear
02/01/2022,04:30 AM,77.36,86.36,7.82,29.77,Clear
02/01/2022,05:00 AM,76.82,87.91,7.45,29.77,Clear
02/01/2022,05:30 AM,76.27,89.91,7.00,29.77,Clear
02/01/2022,06:00 AM,75.91,91.91,6.73,29.78,Rain
02/01/2022,06:30 AM,75.73,93.91,6.18,29.78,Rain
02/01/2022,07:00 AM,75.73,95.36,5.55,29.79,Rain
02/01/2022,07:30 AM,75.91,96.36,5.00,29.79,Rain
02/01/2022,08:00 AM,75.73,97.91,5.64,29.80,Rain
02/01/2022,08:30 AM,75.55,98.91,5.91,29.81,Rain
02/01/2022,09:00 AM,75.73,98.91,5.36,29.81,Clear
02/01/2022,09:30 AM,76.09,98.36,5.18,29.81,Clear
02/01/2022,10:00 AM,76.45,97.82,4.91,29.81,Rain
02/01/2022,10:30 AM,77.00,97.27,5.09,29.81,Rain
02/01/2022,11:00 AM,77.73,96.27,5.27,29.81,Rain
02/01/2022,11:30 AM,78.09,95.27,6.09,29.80,Clear
02/01/2022,12:00 PM,78.45,94.27,6.82,29.79,Clear
02/01/2022,12:30 PM,78.73,93.36,7.36,29.78,Rain
02/01/2022,01:00 PM,79.18,92.00,8.09,29.77,Rain
02/01/2022,01:30 PM,80.00,89.64,8.09,29.76,Clear
02/01/2022,02:00 PM,80.82,87.27,8.18,29.75,Rain
02/01/2022,02:30 PM,81.45,84.55,9.09,29.74,Rain
02/01/2022,03:00 PM,81.73,82.73,9.73,29.74,Clear
02/01/2022,03:30 PM,82.00,80.91,10.00,29.73,Clear
02/01/2022,04:00 PM,82.18,79.55,10.18,29.73,Clear
02/01/2022,04:30 PM,82.18,78.64,10.18,29.73,Clear
02/01/2022,05:00 PM,82.18,78.09,9.45,29.74,Clear
02/01/2022,05:30 PM,82.00,77.55,9.09,29.74,Clear
02/01/2022,06:00 PM,81.55,78.00,8.82,29.75,Clear
02/01/2022,06:30 PM,81.09,78.36,8.55,29.76,Clear
02/01/2022,07:00 PM,80.45,79.73,7.64,29.77,Clear
02/01/2022,07:30 PM,79.82,81.09,6.73,29.78,Rain
02/01/2022,08:00 PM,79.40,82.20,5.80,29.78,Clear
02/01/2022,08:30 PM,78.70,84.80,4.80,29.79,Clear
02/01/2022,09:00 PM,78.00,87.40,4.40,29.80,Clear
