date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,source_file
01/01/2020,12:00 AM,77.33,83.17,5.0,29.83,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,12:30 AM,77.29,83.14,4.71,29.82,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,01:00 AM,77.0,83.88,4.12,29.82,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,01:30 AM,76.56,85.0,3.67,29.82,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,02:00 AM,76.2,85.9,3.3,29.81,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,02:30 AM,75.91,86.64,3.0,29.81,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,03:00 AM,75.55,87.09,2.73,29.81,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,03:30 AM,75.18,88.09,2.27,29.8,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,04:00 AM,74.82,89.09,2.27,29.8,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,04:30 AM,74.45,90.09,1.91,29.8,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,05:00 AM,74.27,91.09,1.64,29.8,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,05:30 AM,74.45,91.64,1.64,29.8,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,06:00 AM,74.82,91.73,2.09,29.81,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,06:30 AM,75.45,90.82,3.27,29.81,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,07:00 AM,76.45,88.64,4.64,29.82,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,07:30 AM,77.82,85.73,6.27,29.82,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,08:00 AM,79.0,83.18,8.18,29.83,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,08:30 AM,80.36,79.91,9.55,29.83,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,09:00 AM,81.55,77.45,11.36,29.84,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,09:30 AM,83.09,73.91,13.27,29.84,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,10:00 AM,84.64,70.36,15.18,29.84,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,10:30 AM,86.0,66.82,17.27,29.83,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,11:00 AM,87.0,63.73,18.82,29.83,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,11:30 AM,87.64,61.36,20.27,29.83,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,12:00 PM,88.18,59.82,20.73,29.82,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,12:30 PM,88.73,58.45,21.55,29.81,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,01:00 PM,88.73,58.09,22.09,29.8,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,01:30 PM,88.91,57.09,22.09,29.79,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,02:00 PM,88.73,57.09,22.55,29.78,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,02:30 PM,88.55,56.73,22.0,29.78,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,03:00 PM,88.0,57.36,21.45,29.78,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,03:30 PM,87.8,57.6,21.3,29.77,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,04:00 PM,87.0,59.1,20.2,29.77,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,04:30 PM,86.1,60.6,19.3,29.78,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,05:00 PM,85.4,61.8,17.9,29.78,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,05:30 PM,84.7,62.6,16.9,29.79,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,06:00 PM,83.6,64.9,15.0,29.8,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,06:30 PM,82.7,66.5,13.2,29.81,Clear,songkhla_weather_2020-final_3class.csv
01/01/2020,07:00 PM,81.8,68.4,11.3,29.82,Clear,songkhla_weather_2020-final_3class.csv
