date,time,temperature_F,humidity_%,wind_speed_kmh,pressure_in,condition,source_file
1/1/2020,12:00 AM,77,89,6,29.85,Fair,songkhla_weather_2020.csv
1/1/2020,12:30 AM,79,78,7,29.85,Fair,songkhla_weather_2020.csv
1/1/2020,1:00 AM,77,83,3,29.82,Fair,songkhla_weather_2020.csv
1/1/2020,1:30 AM,77,83,6,29.82,Fair,songkhla_weather_2020.csv
1/1/2020,2:00 AM,77,83,3,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,2:30 AM,77,83,5,29.82,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,3:00 AM,77,83,3,29.79,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,3:30 AM,75,89,0,29.79,Fair,songkhla_weather_2020.csv
1/1/2020,4:00 AM,73,94,0,29.79,Fair,songkhla_weather_2020.csv
1/1/2020,4:30 AM,73,94,0,29.79,Fair,songkhla_weather_2020.csv
1/1/2020,5:00 AM,73,94,0,29.79,Fair,songkhla_weather_2020.csv
1/1/2020,5:30 AM,73,94,3,29.79,Fair,songkhla_weather_2020.csv
1/1/2020,6:00 AM,75,89,2,29.79,Fair,songkhla_weather_2020.csv
1/1/2020,6:30 AM,73,94,3,29.82,Fair,songkhla_weather_2020.csv
1/1/2020,7:00 AM,73,94,2,29.82,Fair,songkhla_weather_2020.csv
1/1/2020,7:30 AM,75,94,0,29.82,Fair,songkhla_weather_2020.csv
1/1/2020,8:00 AM,79,89,5,29.82,Fair,songkhla_weather_2020.csv
1/1/2020,8:30 AM,81,84,8,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,9:00 AM,82,79,13,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,9:30 AM,84,70,15,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,10:00 AM,88,62,18,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,10:30 AM,86,66,21,29.85,Partly Cloudy / Windy,songkhla_weather_2020.csv
1/1/2020,11:00 AM,88,58,18,29.85,Partly Cloudy,songkhla_weather_2020.csv
1/1/2020,11:30 AM,88,62,22,29.82,Partly Cloudy / Windy,songkhla_weather_2020.csv
1/1/2020,12:00 PM,90,55,24,29.82,Partly Cloudy / Windy,songkhla_weather_2020.csv
