date,time,temperature_F,humidity_%,pressure_in,condition,LATITUDE,LONGITUDE,less4wheelacc,4wheelacc,more4wheelacc,เกิดเหตุ,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday,is_special_holiday,is_any_holiday,holiday_name,special_name,special_kind
01/01/2024,12:00 AM,75.67,96.0,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,12:30 AM,75.57,95.71,29.77,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,01:00 AM,75.5,95.5,29.76,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,01:30 AM,75.44,95.33,29.76,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,02:00 AM,75.2,95.8,29.76,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,02:30 AM,75.0,96.18,29.75,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,03:00 AM,74.64,96.73,29.75,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,03:30 AM,74.27,97.27,29.74,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,04:00 AM,74.09,97.27,29.74,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,04:30 AM,73.91,97.27,29.74,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,05:00 AM,73.91,97.82,29.74,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,05:30 AM,74.27,97.82,29.74,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,06:00 AM,74.91,97.36,29.75,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,06:30 AM,75.55,96.91,29.75,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,07:00 AM,76.36,96.0,29.76,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,07:30 AM,77.36,94.55,29.77,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,08:00 AM,78.55,92.64,29.77,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,08:30 AM,79.73,90.73,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,09:00 AM,81.27,88.0,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,09:30 AM,82.64,85.73,29.79,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,10:00 AM,84.18,82.64,29.79,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,10:30 AM,85.55,79.55,29.79,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,11:00 AM,86.55,76.64,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,11:30 AM,87.27,74.18,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,12:00 PM,88.0,71.45,29.77,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,12:30 PM,88.55,69.45,29.76,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,01:00 PM,89.09,67.18,29.75,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,01:30 PM,89.45,65.36,29.74,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,02:00 PM,89.64,63.82,29.73,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,02:30 PM,89.45,63.09,29.72,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,03:00 PM,89.27,62.27,29.72,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,03:30 PM,88.73,62.64,29.72,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,04:00 PM,88.0,63.36,29.71,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,04:30 PM,87.27,64.91,29.72,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,05:00 PM,86.55,66.45,29.72,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,05:30 PM,85.73,68.73,29.72,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,06:00 PM,84.91,70.73,29.73,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,06:30 PM,84.09,73.0,29.74,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,07:00 PM,83.09,75.73,29.75,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,07:30 PM,82.27,78.18,29.76,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,08:00 PM,81.45,80.64,29.77,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,08:30 PM,80.82,82.73,29.77,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,09:00 PM,80.36,84.45,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,09:30 PM,79.91,86.27,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,10:00 PM,79.45,87.64,29.78,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
01/01/2024,10:30 PM,79.0,89.0,29.79,Clear,-,-,0,0,0,0,,,,0,0,1,0,1,New Year's Day,,
