date,time,temperature_F,humidity_%,pressure_in,condition
1/1/2024,12:00 AM,77 °F,94%,29.79 in,Fair
1/1/2024,12:30 AM,77 °F,94%,29.79 in,Fair
1/1/2024,1:00 AM,75 °F,100%,29.79 in,Fair
1/1/2024,1:30 AM,75 °F,100%,29.79 in,Fair
1/1/2024,2:00 AM,75 °F,94%,29.76 in,Fair
1/1/2024,2:30 AM,75 °F,94%,29.73 in,Fair
1/1/2024,3:00 AM,75 °F,94%,29.73 in,Fair
1/1/2024,3:30 AM,75 °F,94%,29.73 in,Fair
1/1/2024,4:00 AM,75 °F,94%,29.73 in,Fair
1/1/2024,4:30 AM,73 °F,100%,29.73 in,Fair
1/1/2024,5:00 AM,73 °F,100%,29.73 in,Fair
1/1/2024,5:30 AM,73 °F,100%,29.73 in,Fair
1/1/2024,6:00 AM,73 °F,100%,29.73 in,Fair
1/1/2024,6:30 AM,73 °F,100%,29.76 in,Fair
1/1/2024,7:00 AM,73 °F,100%,29.76 in,Fair
1/1/2024,7:30 AM,75 °F,100%,29.76 in,Fair
1/1/2024,8:00 AM,79 °F,94%,29.79 in,Fair
1/1/2024,8:30 AM,82 °F,89%,29.79 in,Fair
1/1/2024,9:00 AM,82 °F,89%,29.79 in,Fair
1/1/2024,9:30 AM,84 °F,84%,29.79 in,Mostly Cloudy
1/1/2024,10:00 AM,84 °F,84%,29.81 in,Mostly Cloudy
1/1/2024,10:30 AM,86 °F,79%,29.79 in,Mostly Cloudy
1/1/2024,11:00 AM,86 °F,79%,29.79 in,Mostly Cloudy
1/1/2024,11:30 AM,90 °F,70%,29.79 in,Mostly Cloudy
1/1/2024,12:00 PM,88 °F,75%,29.79 in,Mostly Cloudy
1/1/2024,12:30 PM,90 °F,66%,29.76 in,Mostly Cloudy
1/1/2024,1:00 PM,90 °F,66%,29.76 in,Mostly Cloudy
1/1/2024,1:30 PM,90 °F,62%,29.73 in,Partly Cloudy
1/1/2024,2:00 PM,90 °F,62%,29.73 in,Partly Cloudy
1/1/2024,2:30 PM,90 °F,59%,29.70 in,Partly Cloudy
1/1/2024,3:00 PM,90 °F,62%,29.70 in,Partly Cloudy
1/1/2024,3:30 PM,90 °F,59%,29.70 in,Fair
1/1/2024,4:00 PM,90 °F,59%,29.70 in,Fair
1/1/2024,4:30 PM,88 °F,62%,29.70 in,Fair
1/1/2024,5:00 PM,88 °F,62%,29.70 in,Fair
1/1/2024,5:30 PM,86 °F,66%,29.73 in,Fair
1/1/2024,6:00 PM,84 °F,70%,29.73 in,Fair
1/1/2024,6:30 PM,82 °F,74%,29.73 in,Fair
1/1/2024,7:00 PM,82 °F,79%,29.76 in,Fair
1/1/2024,7:30 PM,82 °F,79%,29.76 in,Fair
1/1/2024,8:00 PM,81 °F,84%,29.76 in,Fair
1/1/2024,8:30 PM,81 °F,84%,29.79 in,Fair
1/1/2024,9:00 PM,81 °F,84%,29.79 in,Fair
1/1/2024,9:30 PM,79 °F,89%,29.79 in,Fair
1/1/2024,10:00 PM,79 °F,89%,29.79 in,Fair
1/1/2024,10:30 PM,79 °F,89%,29.79 in,Fair
1/1/2024,11:00 PM,79 °F,89%,29.79 in,Fair
1/1/2024,11:30 PM,79 °F,89%,29.79 in,Fair
2/1/2024,12:00 AM,77 °F,94%,29.79 in,Fair
2/1/2024,12:30 AM,77 °F,94%,29.79 in,Fair
2/1/2024,1:00 AM,77 °F,94%,29.79 in,Fair
2/1/2024,1:30 AM,75 °F,100%,29.76 in,Fair
2/1/2024,2:00 AM,77 °F,94%,29.76 in,Fair
2/1/2024,2:30 AM,75 °F,100%,29.76 in,Fair
2/1/2024,3:00 AM,75 °F,100%,29.73 in,Fair
2/1/2024,3:30 AM,77 °F,94%,29.73 in,Fair
2/1/2024,4:00 AM,75 °F,94%,29.73 in,Fair
2/1/2024,4:30 AM,75 °F,94%,29.73 in,Fair
2/1/2024,5:00 AM,75 °F,94%,29.73 in,Fair
2/1/2024,5:30 AM,75 °F,100%,29.76 in,Fair
2/1/2024,6:00 AM,75 °F,94%,29.76 in,Fair
2/1/2024,6:30 AM,75 °F,100%,29.76 in,Fair
2/1/2024,7:00 AM,75 °F,100%,29.76 in,Partly Cloudy
2/1/2024,7:30 AM,77 °F,94%,29.79 in,Partly Cloudy
2/1/2024,8:00 AM,79 °F,94%,29.79 in,Partly Cloudy
2/1/2024,8:30 AM,82 °F,89%,29.79 in,Partly Cloudy
2/1/2024,9:00 AM,84 °F,84%,29.79 in,Partly Cloudy
2/1/2024,9:30 AM,84 °F,84%,29.79 in,Partly Cloudy
