datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,รถน้อยกว่า4ล้อทั้งหมด,รถ4ล้อทั้งหมด,รถมากกว่า4ล้อทั้งหมด,day_of_week,is_weekend,is_holiday,is_daytime
1/1/2024,0,81.3125,83.02083333,29.75729167,93,430,93,0,0,1,0
2/1/2024,0,80.91666667,80.91666667,29.83833333,90,426,95,1,0,0,0
3/1/2024,0,83.125,77.29166667,29.7475,90,436,93,2,0,0,0
4/1/2024,0,84.625,78.60416667,29.71604167,92,410,93,3,0,0,0
5/1/2024,1,86.375,76.64583333,29.586875,95,418,94,4,0,0,0
6/1/2024,1,82.6875,87.04166667,29.72125,94,441,94,5,1,0,0
7/1/2024,0,82.79166667,82.08333333,29.70125,84,438,96,6,1,0,0
8/1/2024,0,82.79166667,82.47916667,29.73125,88,429,89,0,0,0,0
9/1/2024,0,83.47916667,76.91666667,29.668125,87,435,94,1,0,0,0
10/1/2024,0,82.29166667,79.8125,29.670625,87,439,92,2,0,0,0
11/1/2024,0,83.08333333,77.10416667,29.71625,95,432,90,3,0,0,0
12/1/2024,0,79.70833333,86.29166667,29.668125,93,428,90,4,0,0,0
13/1/2024,0,80.33333333,81.83333333,29.755,92,439,95,5,1,1,0
14/1/2024,0,79.68085106,80.61702128,29.77297872,89,415,91,6,1,0,0
15/1/2024,0,81.125,80.52083333,29.75541667,94,426,94,0,0,0,0
16/1/2024,1,82.29166667,81.97916667,29.750625,90,424,91,1,0,0,0
17/1/2024,0,82.60416667,76.83333333,29.743125,93,436,94,2,0,0,0
18/1/2024,0,80.79166667,81.79166667,29.75625,94,407,95,3,0,0,0
19/1/2024,0,81.52083333,81.20833333,29.75291667,92,422,95,4,0,0,0
20/1/2024,1,80.77083333,81.125,29.76416667,94,420,92,5,1,0,0
21/1/2024,0,80.35416667,83.4375,29.78625,83,426,89,6,1,0,0
22/1/2024,0,79.0625,88.125,29.79666667,93,434,94,0,0,0,0
